category,foundation,metric,value,percentage
OVERALL,v1_reconstructed,Candidates,946,
OVERALL,v1_reconstructed,Blocked,415,
OVERALL,v1_reconstructed,Allowed,531,
OVERALL,v1_reconstructed,Block Rate %,43.87%,
REASONS,v1_reconstructed,scenario_not_allow,293,17.92%
REASONS,v1_reconstructed,foundation_version_not_trusted,351,21.47%
REASONS,v1_reconstructed,oi_delta_unreliable,297,18.17%
REASONS,v1_reconstructed,mixed_context_blocked,177,10.83%
REASONS,v1_reconstructed,exhaustion_oi_climax,101,6.18%
REASONS,v1_reconstructed,volume_z_below_threshold,25,1.53%
REASONS,v1_reconstructed,oi_delta_z_below_threshold,47,2.87%
REASONS,v1_reconstructed,exhaustion_volume_climax,114,6.97%
REASONS,v1_reconstructed,chasing_pump_candle,119,7.28%
REASONS,v1_reconstructed,late_expansion_blocked,21,1.28%
REASONS,v1_reconstructed,clarity_below_threshold,18,1.10%
REASONS,v1_reconstructed,continuation_control_not_directional,13,0.80%
REASONS,v1_reconstructed,continuation_flow_alignment_below_threshold,14,0.86%
REASONS,v1_reconstructed,continuation_structure_strength_below_threshold,13,0.80%
REASONS,v1_reconstructed,decision_bridge_low_htf_oi_percentile,6,0.37%
REASONS,v1_reconstructed,funding_extreme_long_premium,10,0.61%
REASONS,v1_reconstructed,decision_bridge_bearish_4h_taker_context,3,0.18%
REASONS,v1_reconstructed,funding_extreme_short_premium,9,0.55%
REASONS,v1_reconstructed,continuation_choppy_regime,2,0.12%
REASONS,v1_reconstructed,range_context_blocked,1,0.06%
REASONS,v1_reconstructed,continuation_taker_not_aligned,1,0.06%
SETUPS,v1_reconstructed,Accumulation,372,39.32%
SETUPS,v1_reconstructed,Breakout,253,26.74%
SETUPS,v1_reconstructed,Continuation,316,33.40%
SETUPS,v1_reconstructed,Trap,5,0.53%
TIMEFRAMES,v1_reconstructed,15m,891,94.19%
TIMEFRAMES,v1_reconstructed,1h,55,5.81%
SCENARIOS,v1_reconstructed,mixed_context,177,88.94%
SCENARIOS,v1_reconstructed,late_expansion,21,10.55%
SCENARIOS,v1_reconstructed,range_context,1,0.50%
PATCHES,v1_reconstructed,scenario_not_allow,293,25.72%
PATCHES,v1_reconstructed,foundation_version_not_trusted,351,30.82%
PATCHES,v1_reconstructed,oi_delta_unreliable,297,26.08%
PATCHES,v1_reconstructed,mixed_context_blocked,177,15.54%
PATCHES,v1_reconstructed,late_expansion_blocked,21,1.84%
OVERALL,v2_option_a,Candidates,3,
OVERALL,v2_option_a,Blocked,1,
OVERALL,v2_option_a,Allowed,2,
OVERALL,v2_option_a,Block Rate %,33.33%,
REASONS,v2_option_a,scenario_not_allow,1,20.00%
REASONS,v2_option_a,foundation_version_not_trusted,1,20.00%
REASONS,v2_option_a,oi_delta_unreliable,1,20.00%
REASONS,v2_option_a,exhaustion_oi_climax,1,20.00%
REASONS,v2_option_a,clarity_below_threshold,1,20.00%
SETUPS,v2_option_a,Continuation,1,33.33%
SETUPS,v2_option_a,Accumulation,1,33.33%
SETUPS,v2_option_a,Trap,1,33.33%
TIMEFRAMES,v2_option_a,15m,3,100.00%
PATCHES,v2_option_a,scenario_not_allow,1,33.33%
PATCHES,v2_option_a,foundation_version_not_trusted,1,33.33%
PATCHES,v2_option_a,oi_delta_unreliable,1,33.33%
