symbol,timeframe,timestamp,scenario_label,scenario_disposition,foundation,oi_reliable,oi_build,effort_result,absorption,climax,crowding,taker_div,body_chg,c2c_chg,rolling_chg,vol_z,oi_z,pressure,action,status,warnings,relaxed_reasons
API3USDT,15m,2026-04-28T06:28:12.890401+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,crowded_short,False,0.016076213158678226,0.016076213158678226,0.016076213158678226,1939.5553353670948,6.745794877065095,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",crowding_warning,foundation_version_not_trusted|oi_delta_unreliable
API3USDT,15m,2026-04-28T06:43:28.215963+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,extreme_crowded_short,False,0.03896864928215656,0.03896864928215656,0.03896864928215656,3340.8820181176693,35.31954430807646,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
API3USDT,15m,2026-04-28T07:44:35.603363+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,extreme_crowded_long,True,0.021049677238282365,0.021049677238282365,0.021049677238282365,208.5077592739545,1.697936907174869,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",taker_price_divergence_warning,foundation_version_not_trusted|oi_delta_unreliable
ARIAUSDT,15m,2026-04-23T00:28:35.587427+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,crowded_long,False,-0.015014253933475639,-0.015014253933475639,-0.015014253933475639,54193889000000.43,1.2201162323844743,VALID,ENTER,"Sellers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",crowding_warning,foundation_version_not_trusted|oi_delta_unreliable
AVNTUSDT,15m,2026-04-26T17:14:58.026041+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Normal,False,False,neutral,True,0.005265445551114979,0.004901960784313695,0.004901960784313695,5.491666273013065,6.561850849866672,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",taker_price_divergence_warning,foundation_version_not_trusted|oi_delta_unreliable
AXLUSDT,15m,2026-04-23T14:55:01.960136+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,extreme_crowded_short,False,0.010393802345058588,0.010901793195910843,0.010901793195910843,186.55906461780302,3.449422283180559,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
BARDUSDT,15m,2026-04-16T08:14:13.994498+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,extreme_crowded_short,True,0.005759915713485753,0.005759915713485753,0.005759915713485753,3.3294260986154636,-0.050863271692652194,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",taker_price_divergence_warning,foundation_version_not_trusted|oi_delta_unreliable
BIOUSDT,15m,2026-04-28T21:14:00.579130+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,neutral,False,0.020339927556422444,0.020339927556422444,0.020339927556422444,4.863528723775223,3.7016962835774216,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
BRUSDT,15m,2026-04-12T09:26:03.585177+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Normal,False,False,neutral,False,0.016778257858675115,0.016778257858675115,0.016778257858675115,-0.8073174063954578,2.271635135553995,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
BRUSDT,15m,2026-04-12T13:10:54.940584+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,neutral,False,0.013282763072950359,0.013282763072950359,0.013282763072950359,2.500845285401441,1.482830930370455,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
BTCUSDT,15m,2026-05-07T00:41:26.412003+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,crowded_short,False,-0.0017726259254239912,-0.006027487994701038,-0.006027487994701038,69.85638235144103,27.489366745687985,VALID,ENTER,"Sellers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",crowding_warning,foundation_version_not_trusted|oi_delta_unreliable
ENSOUSDT,15m,2026-04-28T12:28:28.067272+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Normal,False,False,extreme_crowded_short,False,0.003787878787878721,0.003787878787878721,0.003787878787878721,1.3606796280205455,2.447193636532492,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
GALAUSDT,15m,2026-04-27T01:40:16.658993+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Normal,False,False,crowded_long,False,0.011730205278592407,0.011730205278592407,0.011730205278592407,-1.1681220617510906,1.2519327897805212,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",crowding_warning,foundation_version_not_trusted|oi_delta_unreliable
GENIUSUSDT,15m,2026-04-30T03:55:13.790198+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,extreme_crowded_short,False,-0.006784260515603806,-0.006784260515603806,-0.006784260515603806,6.590194715505757,2.4989396753124398,VALID,WAIT,"Market shows early weakness: rebound failed, new positions are entering but price is not advancing, and higher timeframe does not support upside. This indicates distribution risk before breakdown.",,foundation_version_not_trusted|oi_delta_unreliable
GIGGLEUSDT,15m,2026-04-27T17:13:33.508328+00:00,efficient_build,allow,v1_reconstructed,False,unknown,Efficient,False,False,neutral,False,0.007546115148127334,0.007546115148127334,0.007546115148127334,29.35498104756532,14.994101018538164,VALID,ENTER,"Buyers still control structure. Open interest is building and flow is aligned with the active trend, so continuation is the dominant read.",,foundation_version_not_trusted|oi_delta_unreliable
