symbol,timestamp,foundation_off,setup,scenario_off,quality_off,permission_off,struct_perm,struct_block,struct_warn,is_struct,is_volatile,regime_warn,exp_subtype,comp_type,trap_risk,base_status,oi_reliable,foundation_on,scenario_on,quality_on,permission_on
BTCUSDT,2026-04-23 16:56:38.886057+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
BTCUSDT,2026-04-24 22:40:56.320138+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,volatile_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
BTCUSDT,2026-04-27 16:42:56.513152+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
BTCUSDT,2026-04-27 17:13:33.508328+00:00,v1_reconstructed,Continuation,Pre-Squeeze,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Pre-Squeeze,WAIT,BLOCK
BTCUSDT,2026-04-28 07:14:05.989306+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
BTCUSDT,2026-04-28 14:41:01.321135+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
BTCUSDT,2026-04-28 14:56:23.865140+00:00,v1_reconstructed,Continuation,Long Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Long Build-up,WAIT,BLOCK
SOLUSDT,2026-04-21 12:41:15.375498+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,volatile_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
SOLUSDT,2026-04-24 22:40:56.320138+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,volatile_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
SOLUSDT,2026-04-28 14:56:23.865140+00:00,v1_reconstructed,Continuation,Long Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Long Build-up,WAIT,BLOCK
SOLUSDT,2026-04-30 05:26:48.957917+00:00,v1_reconstructed,Continuation,Pre-Squeeze,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Pre-Squeeze,WAIT,BLOCK
SOLUSDT,2026-05-06 13:59:59.999000+00:00,v1_reconstructed,Continuation,Short Build-up,REDUCE_OR_WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,volatile_expansion,no_compression,0.0,NORMAL,True,v1_reconstructed,Short Build-up,REDUCE_OR_WAIT,BLOCK
ETHUSDT,2026-04-19 17:55:20.945361+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,volatile_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
ETHUSDT,2026-04-19 20:43:26.164311+00:00,v1_reconstructed,Continuation,Pre-Squeeze,WAIT,BLOCK,STRUCTURAL_BLOCK,bad_expansion_subtype,,False,False,,chaotic_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Pre-Squeeze,WAIT,BLOCK
ETHUSDT,2026-04-19 23:11:05.683839+00:00,v1_reconstructed,Continuation,Short Build-up,WAIT,BLOCK,STRUCTURAL_PENALTY,,non_structural_continuation,False,False,,unknown_expansion,no_compression,0.6,NORMAL,True,v1_reconstructed,Short Build-up,WAIT,BLOCK
