symbol,timestamp,foundation,scenario,oi_align,oi_build,mode_a_allowed,mode_a_reasons,mode_c_unlocked,mode_c_risks
0GUSDT,2026-04-28T09:11:16.333935+00:00,v1_reconstructed,weak_propulsion,MISSING,unknown,False,foundation_version_not_trusted|weak_propulsion|oi_delta_unreliable,False,
0GUSDT,2026-04-28T17:29:50.359303+00:00,v1_reconstructed,mixed_context,MISSING,unknown,False,foundation_version_not_trusted|semantic_absorption_block|mixed_context|oi_delta_unreliable,False,
0GUSDT,2026-04-28T19:11:40.551423+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T01:55:33.873326+00:00,v1_reconstructed,weak_propulsion,MISSING,unknown,False,foundation_version_not_trusted|weak_propulsion|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T02:56:36.557612+00:00,v1_reconstructed,mixed_context,MISSING,unknown,False,foundation_version_not_trusted|mixed_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T03:27:06.230061+00:00,v1_reconstructed,weak_propulsion,MISSING,unknown,False,foundation_version_not_trusted|weak_propulsion|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T03:42:19.939612+00:00,v1_reconstructed,weak_propulsion,MISSING,unknown,False,foundation_version_not_trusted|weak_propulsion|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T04:43:24.596224+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable|semantic_absorption_block,False,
1000BONKUSDT,2026-04-27T06:25:11.279569+00:00,v1_reconstructed,weak_propulsion,MISSING,unknown,False,foundation_version_not_trusted|weak_propulsion|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-27T15:57:06.533893+00:00,v1_reconstructed,mixed_context,MISSING,unknown,False,foundation_version_not_trusted|mixed_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-28T06:12:58.448706+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-28T08:25:22.009748+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-28T11:57:51.316590+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-28T12:13:11.882272+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable|semantic_absorption_block,False,
1000BONKUSDT,2026-04-28T15:11:41.355874+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-28T18:41:09.765715+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-30T05:57:19.729386+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-30T06:43:15.104600+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
1000BONKUSDT,2026-04-30T07:29:02.930721+00:00,v1_reconstructed,range_context,MISSING,unknown,False,foundation_version_not_trusted|range_context|oi_delta_unreliable,False,
