candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
balanced_soft,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,guard_market_pressure_4h_high,
balanced_soft,2,1000SHIBUSDT,15m,Continuation,Bullish,2026-04-23T05:07:58.482377+00:00,guard_volume_z_4h_extreme,
balanced_soft,4,MASKUSDT,24h,Continuation,Bullish,2026-04-23T08:02:10.726639+00:00,guard_market_pressure_4h_high,
balanced_soft,5,HYPEUSDT,1h,Continuation,Bullish,2026-04-23T15:00:11.891755+00:00,guard_low_volatility,
balanced_soft,6,RAVEUSDT,15m,Continuation,Bullish,2026-04-24T08:04:05.030956+00:00,guard_market_pressure_4h_high,
balanced_soft,7,MAGMAUSDT,15m,Continuation,Bullish,2026-04-24T10:26:31.962543+00:00,guard_volume_z_4h_extreme,
balanced_soft,8,GALAUSDT,4h,Continuation,Bullish,2026-04-24T12:04:56.081605+00:00,guard_market_pressure_4h_high,
balanced_soft,9,TRUMPUSDT,24h,Continuation,Bullish,2026-04-24T15:48:45.639282+00:00,guard_market_pressure_4h_high,
balanced_soft,10,PIPPINUSDT,4h,Continuation,Bullish,2026-04-24T20:03:12.819715+00:00,guard_market_pressure_4h_high,
balanced_soft,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
balanced_soft,14,GALAUSDT,4h,Continuation,Bullish,2026-04-25T04:01:35.760746+00:00,guard_market_pressure_4h_high,
balanced_soft,15,币安人生USDT,1h,Continuation,Bullish,2026-04-25T07:04:44.230290+00:00,guard_timeframe_1h,
balanced_soft,17,ALGOUSDT,4h,Continuation,Bullish,2026-04-25T08:00:47.271602+00:00,guard_market_pressure_4h_high,
balanced_soft,20,MOVRUSDT,15m,Continuation,Bullish,2026-04-25T23:12:16.621452+00:00,guard_market_pressure_4h_high,
balanced_soft,26,ENSOUSDT,15m,Continuation,Bullish,2026-04-26T10:47:38.664674+00:00,guard_market_pressure_4h_high,
balanced_soft,28,LPTUSDT,24h,Continuation,Bullish,2026-04-26T10:57:51.411188+00:00,guard_market_pressure_4h_high,
balanced_soft,29,MINAUSDT,24h,Continuation,Bullish,2026-04-26T11:15:45.056158+00:00,guard_market_pressure_4h_high,
balanced_soft,31,1000PEPEUSDT,4h,Continuation,Bullish,2026-04-26T12:00:01.672812+00:00,guard_market_pressure_4h_high,
balanced_soft,32,PENGUUSDT,4h,Continuation,Bullish,2026-04-26T12:00:03.838952+00:00,guard_market_pressure_4h_high,
balanced_soft,33,XLMUSDT,1h,Continuation,Bullish,2026-04-26T12:00:06.513600+00:00,guard_timeframe_1h,
balanced_soft,34,ORCAUSDT,15m,Continuation,Bullish,2026-04-26T13:28:18.332461+00:00,guard_market_pressure_4h_high,
balanced_soft,35,SEIUSDT,15m,Continuation,Bullish,2026-04-26T14:24:55.296885+00:00,guard_market_pressure_4h_high,
balanced_soft,36,INJUSDT,15m,Continuation,Bullish,2026-04-26T15:26:42.012694+00:00,guard_low_volatility,
balanced_soft,37,CHZUSDT,4h,Continuation,Bullish,2026-04-26T16:00:05.498613+00:00,guard_market_pressure_4h_high,
balanced_soft,38,AXSUSDT,15m,Continuation,Bullish,2026-04-26T19:28:37.060134+00:00,guard_market_pressure_4h_high,
balanced_soft,39,AAVEUSDT,4h,Continuation,Bullish,2026-04-26T20:00:03.797533+00:00,guard_low_volatility,
balanced_soft,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,guard_low_volatility,
balanced_soft,44,FARTCOINUSDT,4h,Continuation,Bullish,2026-04-27T00:04:44.483023+00:00,guard_market_pressure_4h_high,
balanced_soft,45,VIRTUALUSDT,1h,Continuation,Bullish,2026-04-27T01:04:42.335016+00:00,guard_timeframe_1h,
balanced_soft,47,1000PEPEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:39.603957+00:00,guard_market_pressure_4h_high,
balanced_soft,48,AAVEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:41.499745+00:00,guard_low_volatility,
balanced_soft,51,GENIUSUSDT,15m,Continuation,Bullish,2026-04-27T04:58:42.179294+00:00,guard_volume_z_4h_extreme,
balanced_soft,55,1000LUNCUSDT,4h,Continuation,Bullish,2026-04-28T08:05:01.756864+00:00,guard_market_pressure_4h_high,
balanced_soft,56,ORCAUSDT,15m,Continuation,Bullish,2026-04-28T08:55:56.692015+00:00,guard_market_pressure_4h_high,
balanced_soft,58,CLUSDT,4h,Continuation,Bullish,2026-04-28T10:49:15.013450+00:00,guard_low_volatility,
balanced_soft,59,BZUSDT,4h,Continuation,Bullish,2026-04-28T12:02:57.289108+00:00,guard_low_volatility,
balanced_soft,60,CRVUSDT,15m,Continuation,Bullish,2026-04-28T13:29:34.569642+00:00,guard_volume_z_4h_extreme,
balanced_soft,62,KATUSDT,15m,Continuation,Bullish,2026-04-28T19:11:41.560976+00:00,guard_market_pressure_4h_high,
balanced_soft,63,OPENUSDT,15m,Continuation,Bullish,2026-04-28T23:26:23.210541+00:00,guard_market_pressure_4h_high,
balanced_soft,64,BIOUSDT,4h,Continuation,Bullish,2026-04-29T00:02:01.300062+00:00,guard_market_pressure_4h_high,
balanced_soft,67,AXSUSDT,15m,Continuation,Bullish,2026-04-29T03:45:59.305849+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
balanced_soft,69,API3USDT,1h,Continuation,Bullish,2026-04-29T06:04:20.466984+00:00,guard_timeframe_1h,
balanced_soft,71,DOGEUSDT,4h,Continuation,Bullish,2026-04-29T10:06:56.772876+00:00,guard_market_pressure_4h_high,
balanced_soft,73,CLUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.428150+00:00,guard_low_volatility,
balanced_soft,74,BZUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.754659+00:00,guard_low_volatility,
balanced_soft,75,SNDKUSDT,4h,Continuation,Bullish,2026-04-30T12:01:14.590129+00:00,guard_low_volatility,
balanced_soft,76,SOLVUSDT,15m,Continuation,Bullish,2026-04-30T14:10:50.171385+00:00,guard_volume_z_4h_extreme,
balanced_soft,77,API3USDT,15m,Continuation,Bullish,2026-05-01T02:29:27.500851+00:00,guard_oi_delta_z_1h_extreme,
balanced_soft,78,1000LUNCUSDT,15m,Continuation,Bullish,2026-05-01T03:56:05.034252+00:00,guard_quality_score_outside_mid,
balanced_soft,79,1000BONKUSDT,1h,Continuation,Bullish,2026-05-01T04:01:11.891979+00:00,guard_timeframe_1h,
balanced_soft,80,MONUSDT,15m,Continuation,Bullish,2026-05-01T08:21:23.352575+00:00,guard_quality_score_outside_mid,
balanced_soft,84,FETUSDT,1h,Continuation,Bullish,2026-05-01T13:01:43.920498+00:00,guard_timeframe_1h,
balanced_soft,85,FARTCOINUSDT,4h,Continuation,Bullish,2026-05-01T16:00:05.434939+00:00,guard_oi_delta_z_1h_extreme,
balanced_soft,86,1000BONKUSDT,4h,Continuation,Bullish,2026-05-01T16:00:06.216040+00:00,guard_quality_score_outside_mid,
balanced_soft,87,MSTRUSDT,4h,Continuation,Bullish,2026-05-01T20:04:46.852781+00:00,guard_low_volatility,
balanced_soft,88,LUMIAUSDT,15m,Continuation,Bullish,2026-05-02T00:55:39.207781+00:00,guard_quality_score_outside_mid,
balanced_soft,89,LITUSDT,15m,Continuation,Bullish,2026-05-02T01:41:30.105255+00:00,guard_quality_score_outside_mid,
balanced_soft,90,币安人生USDT,15m,Continuation,Bullish,2026-05-02T02:27:27.646962+00:00,guard_quality_score_outside_mid,
balanced_soft,91,CHIPUSDT,15m,Continuation,Bullish,2026-05-02T14:31:12.290965+00:00,guard_oi_delta_z_1h_extreme,
balanced_soft,92,FETUSDT,4h,Continuation,Bullish,2026-05-02T16:03:08.033657+00:00,guard_quality_score_outside_mid,
balanced_soft,93,PIEVERSEUSDT,4h,Continuation,Bullish,2026-05-02T16:03:08.692762+00:00,guard_quality_score_outside_mid,
balanced_soft,94,GIGGLEUSDT,4h,Continuation,Bullish,2026-05-02T20:03:03.196508+00:00,guard_low_volatility,
balanced_soft,95,OPGUSDT,4h,Continuation,Bullish,2026-05-03T04:02:54.915649+00:00,guard_market_pressure_4h_high,
balanced_soft,96,ORDIUSDT,15m,Continuation,Bullish,2026-05-03T07:57:44.137116+00:00,guard_low_volatility,
balanced_soft,97,VIRTUALUSDT,4h,Continuation,Bullish,2026-05-03T08:02:52.290482+00:00,guard_quality_score_outside_mid,
balanced_soft,98,WLFIUSDT,15m,Continuation,Bullish,2026-05-03T10:56:20.080549+00:00,guard_quality_score_outside_mid,
balanced_soft,100,ZECUSDT,4h,Continuation,Bullish,2026-05-03T16:02:47.035349+00:00,guard_low_volatility,
balanced_soft,101,WLFIUSDT,4h,Continuation,Bullish,2026-05-03T16:02:47.722101+00:00,guard_oi_delta_z_1h_extreme,
balanced_soft,102,ENAUSDT,1h,Continuation,Bullish,2026-05-03T21:04:00.563812+00:00,guard_timeframe_1h,
balanced_soft,103,TAOUSDT,4h,Continuation,Bullish,2026-05-04T04:02:54.406093+00:00,guard_low_volatility,
balanced_soft,104,SEIUSDT,4h,Continuation,Bullish,2026-05-04T04:02:58.217894+00:00,guard_quality_score_outside_mid,
balanced_soft,105,SUIUSDT,4h,Continuation,Bullish,2026-05-04T04:07:20.976681+00:00,guard_oi_delta_z_1h_extreme,
balanced_soft,106,RENDERUSDT,4h,Continuation,Bullish,2026-05-04T04:07:21.086450+00:00,guard_market_pressure_4h_high,
balanced_soft,107,UNIUSDT,4h,Continuation,Bullish,2026-05-04T04:07:21.370969+00:00,guard_volume_z_4h_extreme,
balanced_soft,108,ETHUSDT,4h,Continuation,Bullish,2026-05-04T04:07:22.204651+00:00,guard_low_volatility,
balanced_soft,110,ETCUSDT,24h,Continuation,Bullish,2026-05-04T04:22:43.817036+00:00,guard_volume_z_4h_extreme,
balanced_soft,112,DASHUSDT,4h,Continuation,Bullish,2026-05-04T08:01:25.195561+00:00,guard_low_volatility,
balanced_soft,113,LINKUSDT,24h,Continuation,Bullish,2026-05-04T09:17:44.043146+00:00,guard_low_volatility,
balanced_soft,114,UNIUSDT,24h,Continuation,Bullish,2026-05-04T12:21:04.762375+00:00,guard_volume_z_4h_extreme,
balanced_soft,116,1000PEPEUSDT,15m,Continuation,Bullish,2026-05-04T14:23:15.524115+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
balanced_soft,118,ETHUSDT,24h,Continuation,Bullish,2026-05-04T14:53:47.078709+00:00,guard_low_volatility,
balanced_soft,119,BTCUSDT,24h,Continuation,Bullish,2026-05-04T15:03:58.953529+00:00,guard_low_volatility,
balanced_soft,120,DASHUSDT,15m,Continuation,Bullish,2026-05-04T15:14:11.208738+00:00,guard_low_volatility,
balanced_soft,121,BZUSDT,4h,Continuation,Bullish,2026-05-04T16:00:06.851487+00:00,guard_low_volatility,
balanced_soft,122,MEGAUSDT,4h,Continuation,Bullish,2026-05-04T16:00:08.146517+00:00,guard_market_pressure_4h_high,
balanced_soft,124,TONUSDT,24h,Continuation,Bullish,2026-05-04T20:04:39.476747+00:00,guard_volume_z_4h_extreme,
balanced_soft,125,HYPEUSDT,24h,Continuation,Bullish,2026-05-04T22:06:55.752615+00:00,guard_low_volatility,
balanced_soft,126,XMRUSDT,24h,Continuation,Bullish,2026-05-04T23:23:25.654678+00:00,guard_low_volatility,
