candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
baseline,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,29,MINAUSDT,24h,Continuation,Bullish,2026-04-26T11:15:45.056158+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,entry_guard_rejected,"entry_drift_too_far,market_tp1_progress_too_far,pullback_tp1_progress_too_far"
baseline,67,AXSUSDT,15m,Continuation,Bullish,2026-04-29T03:45:59.305849+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,71,DOGEUSDT,4h,Continuation,Bullish,2026-04-29T10:06:56.772876+00:00,entry_guard_rejected,"entry_drift_too_far,market_tp1_progress_too_far,pullback_tp1_progress_too_far,tp1_already_touched_before_entry"
baseline,109,VIRTUALUSDT,24h,Continuation,Bullish,2026-05-04T04:17:38.620049+00:00,symbol_locked_open_position,
baseline,116,1000PEPEUSDT,15m,Continuation,Bullish,2026-05-04T14:23:15.524115+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,124,TONUSDT,24h,Continuation,Bullish,2026-05-04T20:04:39.476747+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,136,SUIUSDT,24h,Continuation,Bullish,2026-05-05T13:39:31.282880+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,146,ADAUSDT,24h,Continuation,Bullish,2026-05-05T23:20:30.215190+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,155,TONUSDT,24h,Continuation,Bullish,2026-05-06T04:16:08.139966+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,159,ETCUSDT,24h,Continuation,Bullish,2026-05-06T08:56:27.888871+00:00,symbol_locked_open_position,
baseline,172,OPUSDT,24h,Continuation,Bullish,2026-05-06T22:42:38.350104+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
baseline,175,INTCUSDT,24h,Continuation,Bullish,2026-05-07T02:02:39.077017+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
