candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h,flow_alignment,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,ema30,ema100,ema30_slope,ema30_extension_atr,mae_r,mfe_r,entry_efficiency
qmid_p06_failfast,53,APEUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:41:16.652168+00:00,win,Target 2,1.83665492,1.495,0.421,0.629395,0.1439,0.14213214285714285,0.1456501785714286,0.1474357142857143,True,0.4026,0.2613758846592708,0.6328,-0.6744907594765805,1.5631968696460496,0.5590789318033833,0.14216644,0.14328802,2.99008e-05,0.2117,0.0,2.2626,1.0
qmid_p06_failfast,54,SIRENUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T06:38:24.522862+00:00,2026-04-28T06:38:24.522862+00:00,2026-04-28T09:57:09.555167+00:00,win,Continuation Trail Stop,1.20641943,0.58318017,0.6265,0.36536238,0.6992,0.6847357142857143,0.7135196428571429,0.7281285714285715,True,0.4311,-0.20252158733565198,0.8956,1.0697451448621331,0.7191558715138843,0.07578643038178211,0.69429169,0.6761719,-0.0001442542,0.3559,0.3526,1.3689,0.7952
qmid_p06_failfast,57,币安人生USDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T09:06:10.991617+00:00,2026-04-28T09:06:10.991617+00:00,2026-04-28T10:59:59.999000+00:00,win,Partial TP1,0.63917487,0.495,0.5513,0.2728935,0.36924,0.36447214285714286,0.3739601785714286,0.3787757142857143,True,0.4311,-0.3603861032506503,0.7596,1.534903432391972,1.0804472528533882,-0.6992322929815307,0.36696898,0.36280061,-7.5161e-06,0.2638,0.0,1.1766,1.0
qmid_p06_failfast,60,CRVUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T13:29:34.569642+00:00,2026-04-28T13:29:34.569642+00:00,2026-04-28T14:10:26.614542+00:00,loss,Fail-Fast Exit,-0.44052863,-0.44444444,0.4222,-0.18764444,0.227,0.22475,0.2292275,0.2315,True,0.4781,0.13362890611388575,0.6333,0.6047359757052949,1.652798522453172,-0.20955191890852193,0.22668164,0.22760342,2.19561e-05,0.0482,0.4444,0.0,0.0
qmid_p06_failfast,61,PRLUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T18:20:45.849038+00:00,2026-04-28T18:20:45.849038+00:00,2026-04-28T19:57:31.782211+00:00,loss,Stale Exit,-1.11174458,-0.49591281,0.4481,-0.22221853,0.3508,0.3429357142857143,0.35858564285714284,0.3665285714285714,True,0.4706,-0.8318016054688584,0.6769,0.0,1.4982652037680861,0.1307382462368881,0.35280441,0.33900683,-0.000414097,0.1341,0.5341,0.2925,0.3538
qmid_p06_failfast,66,DOGEUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-29T00:27:29.829690+00:00,2026-04-29T00:27:29.829690+00:00,2026-04-29T01:59:07.419247+00:00,win,Partial TP1,0.17726481,0.495,1.1597,0.5740515,0.09963,0.09927321428571428,0.09998321785714286,0.10034357142857142,True,0.5067,0.050771910025883285,0.7977,1.7886383326291522,0.7165612985594821,-0.2304869386288971,0.09940867,0.09917814,1.52642e-05,0.0927,0.1682,1.0651,0.8636
qmid_p06_failfast,70,TACUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-29T08:29:31.754826+00:00,2026-04-29T08:29:31.754826+00:00,2026-04-30T01:59:59.999000+00:00,win,Target 2,3.30665051,1.52,0.4246,0.645392,0.014145,0.013837285714285715,0.014465022857142856,0.014760428571428568,True,0.5494,-0.32043215028438954,0.6384,-0.23523023028321552,0.768927294409886,0.01254875299459543,0.01378445,0.01259493,2.48654e-05,0.0249,0.3022,5.3784,0.9468
qmid_p06_failfast,81,BIOUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-01T09:58:06.778988+00:00,2026-05-01T09:58:06.778988+00:00,2026-05-01T10:28:43.970881+00:00,loss,Invalidation,-1.54141744,-1.0,0.4239,-0.4239,0.04108,0.04044678571428571,0.04170688214285714,0.04234642857142857,True,0.5427,-0.18327156572967293,0.6369,0.0,0.7895261341455432,0.2945354826654747,0.04073389,0.04051849,2.38696e-05,0.0337,1.1213,0.0,0.0
qmid_p06_failfast,82,SOLVUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-01T10:54:12.302371+00:00,2026-05-01T10:54:12.302371+00:00,2026-05-01T12:26:05.968103+00:00,loss,Stale Exit,-0.60803474,-0.50353243,0.5793,-0.29169634,0.004605,0.004549392857142857,0.0046600510714285715,0.004716214285714285,True,0.5334,0.14206441487122048,0.7968,2.8160733759330685,0.5748465776378382,-1.7259523701157582,0.00458208,0.0046148,-2.817e-07,0.0028,0.5035,0.4676,0.4815
qmid_p06_failfast,83,LUMIAUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-01T11:35:05.526164+00:00,2026-05-01T11:35:05.526164+00:00,2026-05-01T13:11:58.981508+00:00,win,Target 2,3.051461,1.495,0.4236,0.633282,0.17312,0.16958642857142858,0.1766182357142857,0.18018714285714282,True,0.5334,-0.49904994234420774,0.6376,-0.7362474017225011,0.622622172638366,0.10718930893198489,0.16906672,0.16402786,0.0001740195,0.2979,0.0,2.3064,1.0
