candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h
quality_soft,2,1000SHIBUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-23T05:07:58.482377+00:00,2026-04-23T05:07:58.482377+00:00,2026-04-23T08:44:59.999000+00:00,loss,Stale Exit,-0.16420361,-0.4108162,1.2059,-0.49540326,0.00609,0.006065658214285714,0.006114098367857143,0.006138683571428572,False,0.0,0.037796927238422304
quality_soft,3,SEIUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-23T06:40:50.276974+00:00,2026-04-23T06:40:50.276974+00:00,2026-04-23T09:11:03.307815+00:00,win,Continuation Trail Stop,0.38222035,0.68564852,0.5169,0.35441172,0.06117,0.06082900285714286,0.061507587171428575,0.06185199428571429,False,0.0,0.008468049871024588
quality_soft,4,MASKUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-23T08:02:10.726639+00:00,2026-04-23T08:02:10.726639+00:00,2026-04-26T23:59:37.848919+00:00,win,Target 2,10.06109109,1.495,1.069,1.598155,0.49675071,0.4633202475,0.529846867875,0.563611635,False,0.0,0.9405775364348672
quality_soft,6,RAVEUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-24T08:04:05.030956+00:00,2026-04-24T08:04:05.030956+00:00,2026-04-24T09:10:12.671664+00:00,loss,Fail-Fast Exit,-1.81079299,-0.63619326,0.8927,-0.56792972,1.03104,1.0016935714285713,1.0600929642857144,1.0897328571428573,False,0.346,0.5204224681897385
quality_soft,7,MAGMAUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-24T10:26:31.962543+00:00,2026-04-24T10:26:31.962543+00:00,2026-04-24T10:57:02.690677+00:00,win,Partial TP1,0.95483449,0.495,0.4233,0.2095335,0.2214,0.21712928571428572,0.22562800714285716,0.2299414285714286,False,0.2301,0.04154004517764777
quality_soft,8,GALAUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-24T12:04:56.081605+00:00,2026-04-24T12:04:56.081605+00:00,2026-04-24T23:57:14.414203+00:00,win,Target 2,4.44051138,1.495,1.2798,1.913301,0.00328,0.0031825760714285713,0.003376449689285714,0.0034748478571428572,False,0.0,0.6003666512322284
quality_soft,9,TRUMPUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-24T15:48:45.639282+00:00,2026-04-24T15:48:45.639282+00:00,2026-04-25T23:58:06.071119+00:00,loss,Invalidation,-6.79343828,-1.0,1.0372,-1.0372,2.913,2.7151071428571427,3.1089139285714285,3.308785714285714,False,0.0,0.703740248961152
quality_soft,10,PIPPINUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-24T20:03:12.819715+00:00,2026-04-24T20:03:12.819715+00:00,2026-04-24T23:59:59.999000+00:00,win,Partial TP1,2.7869592,0.495,1.1114,0.550143,0.02668,0.02517785714285714,0.028167121428571428,0.029684285714285715,False,0.0,0.7691028525455303
quality_soft,12,FILUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-24T21:44:55.633568+00:00,2026-04-24T21:44:55.633568+00:00,2026-04-28T23:56:54.234221+00:00,loss,Fail-Fast Exit,-2.75423729,-0.36381809,0.9328,-0.33936952,0.944,0.8725357142857142,1.0147496428571428,1.0869285714285715,False,0.0,0.05720649990394683
quality_soft,13,ENAUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-25T01:33:59.000209+00:00,2026-04-25T01:33:59.000209+00:00,2026-04-25T05:12:49.116208+00:00,win,Continuation Trail Stop,0.45264907,0.91048661,0.6204,0.5648659,0.10905,0.10850785714285714,0.10958672142857141,0.1101342857142857,False,0.3295,-0.023382959010935078
quality_soft,14,GALAUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-25T04:01:35.760746+00:00,2026-04-25T04:01:35.760746+00:00,2026-04-25T11:55:01.240326+00:00,loss,Invalidation,-3.54033101,-1.0,1.2825,-1.2825,0.00369,0.0035593617857142858,0.0038193318321428573,0.0039512764285714284,False,0.3619,0.930206908740746
quality_soft,16,KATUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:55:37.778942+00:00,loss,Invalidation,-3.56119525,-1.0,1.1318,-1.1318,0.02443,0.02356,0.0252913,0.02617,False,0.3965,-0.8965367461561348
quality_soft,17,ALGOUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-25T08:00:47.271602+00:00,2026-04-25T08:00:47.271602+00:00,2026-04-25T15:59:59.999000+00:00,loss,Invalidation,-2.83446712,-1.0,1.2825,-1.2825,0.11655,0.11324642857142857,0.12230803571428572,0.12690714285714289,False,0.3619,0.594345637782433
quality_soft,18,QUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-25T08:56:46.260822+00:00,2026-04-25T08:56:46.260822+00:00,2026-04-25T09:57:49.020914+00:00,loss,Invalidation,-1.34165481,-1.0,0.441,-0.441,0.010741,0.010596892857142859,0.010883666071428572,0.011029214285714285,False,0.3212,-0.26417931914575477
quality_soft,19,ADAUSDT,15m,Continuation,Bearish,Ranging,Medium,market,2026-04-25T11:44:49.786325+00:00,2026-04-25T11:44:49.786325+00:00,2026-04-25T13:26:38.740462+00:00,loss,Invalidation,-0.27254145,-1.0,1.1922,-1.1922,0.2516,0.2522857142857143,0.2508662857142857,0.2502285714285714,False,0.3196,0.20911764555061185
quality_soft,20,MOVRUSDT,15m,Continuation,Bullish,Balanced,Medium,market,2026-04-25T23:12:16.621452+00:00,2026-04-25T23:12:16.621452+00:00,2026-04-26T00:13:23.805582+00:00,loss,Invalidation,-2.03716331,-1.0,0.4603,-0.4603,2.514,2.462785714285714,2.568799285714286,2.6164285714285715,False,0.3196,0.7437894030405284
quality_soft,21,ENJUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T00:59:13.367085+00:00,2026-04-26T00:59:13.367085+00:00,2026-04-26T01:29:43.538436+00:00,loss,Invalidation,-0.96529571,-1.0,0.4527,-0.4527,0.06471,0.06408535714285715,0.06532839642857143,0.0659592857142857,False,0.2796,0.04831177509499676
quality_soft,25,KATUSDT,15m,Continuation,Bullish,Balanced,High,pending_limit,2026-04-26T10:32:15.906317+00:00,2026-04-26T10:42:34.098790+00:00,2026-04-26T11:29:54.940960+00:00,win,Partial TP1,1.13345074,0.495,0.8997,0.4453515,0.01285621,0.012561828571428572,0.013147647614285714,0.013444972857142856,False,0.0,-0.01702290038575171
quality_soft,26,ENSOUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-26T10:47:38.664674+00:00,2026-04-26T10:47:38.664674+00:00,2026-04-26T11:55:37.716802+00:00,loss,Fail-Fast Exit,-1.6261665,-0.29349056,1.0224,-0.30006475,1.0823,1.0223321428571428,1.1416681785714287,1.2022357142857145,False,0.2796,0.8422706682683578
quality_soft,28,LPTUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-26T10:57:51.411188+00:00,2026-04-26T10:57:51.411188+00:00,2026-04-30T02:36:36.710926+00:00,loss,Invalidation,-6.69282511,-1.0,1.2545,-1.2545,2.23,2.08075,2.3926825,2.5284999999999997,False,0.6562,0.5609321106462067
quality_soft,30,SOONUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T11:55:38.412031+00:00,2026-04-26T11:55:38.412031+00:00,2026-04-26T12:57:19.429954+00:00,loss,Fail-Fast Exit,-1.02692422,-0.5394362,0.5419,-0.29232047,0.19042593,0.1868007932142857,0.19401481541785714,0.1976762035714286,False,0.3138,-0.06901810078247064
quality_soft,31,1000PEPEUSDT,4h,Continuation,Bullish,Balanced,High,pending_limit,2026-04-26T12:00:01.672812+00:00,2026-04-26T15:57:38.304963+00:00,2026-04-27T03:57:34.172163+00:00,win,Partial TP1,1.0394405,0.495,1.2825,0.6348375,0.00393247,0.0038498928571428577,0.004014221371428572,0.004097624285714286,False,0.3619,0.8161978723695781
quality_soft,32,PENGUUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-26T12:00:03.838952+00:00,2026-04-26T12:00:03.838952+00:00,2026-04-26T19:59:59.999000+00:00,loss,Invalidation,-4.06722501,-1.0,1.2825,-1.2825,0.00895925,0.008594857142857144,0.009319998928571428,0.009688035714285713,False,0.3619,0.8039359207390724
quality_soft,34,ORCAUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-26T13:28:18.332461+00:00,2026-04-26T13:28:18.332461+00:00,2026-04-26T14:40:19.002275+00:00,loss,Invalidation,-5.95305529,-1.0,1.0235,-1.0235,1.68695841,1.5865328432142856,1.7863797211178571,1.8878095435714286,False,0.3042,0.764034572812049
quality_soft,35,SEIUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T14:24:55.296885+00:00,2026-04-26T14:24:55.296885+00:00,2026-04-26T14:55:47.294101+00:00,win,Target 2,1.40629411,1.495,0.432,0.64584,0.06212,0.06153565892857143,0.0626984976607143,0.06328868214285716,False,0.3007,0.8605956899290063
quality_soft,37,CHZUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-26T16:00:05.498613+00:00,2026-04-26T16:00:05.498613+00:00,2026-04-26T23:59:59.999000+00:00,loss,Invalidation,-3.75765928,-1.0,1.1296,-1.1296,0.05146631,0.04953238142857143,0.05338089928571429,0.055334167142857146,False,0.3619,0.8504862964570051
quality_soft,38,AXSUSDT,15m,Continuation,Bullish,Balanced,Medium,market,2026-04-26T19:28:37.060134+00:00,2026-04-26T19:28:37.060134+00:00,2026-04-26T21:11:38.323717+00:00,win,Target 2,2.22424555,1.535,1.113,1.708455,1.405,1.384641270357143,1.4267838407178572,1.4457174592857143,False,0.3015,0.7260817039131535
quality_soft,40,HIGHUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T20:20:05.694944+00:00,2026-04-26T20:20:05.694944+00:00,2026-04-26T20:40:46.975684+00:00,loss,Invalidation,-1.72450199,-1.0,0.5825,-0.5825,0.23074264,0.22676347857142856,0.23468200981428572,0.23870096285714287,False,0.3015,-0.4903518086908529
quality_soft,41,SONICUSDT,15m,Continuation,Bearish,Ranging,High,market,2026-04-26T21:54:51.827206+00:00,2026-04-26T21:54:51.827206+00:00,2026-04-26T21:58:06.978358+00:00,loss,Invalidation,-0.50435252,-1.0,0.9152,-0.9152,0.03833968,0.038533047142857144,0.038148246528571426,0.037952945714285716,False,0.319,0.4515068179932551
quality_soft,43,ONDOUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-26T23:18:58.803078+00:00,2026-04-26T23:18:58.803078+00:00,2026-04-30T23:56:37.107812+00:00,loss,Fail-Fast Exit,-1.39045472,-0.19499341,0.5539,-0.10800685,0.2661,0.247125,0.28678275,0.30405,False,0.7327,-0.1038369282845766
quality_soft,44,FARTCOINUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T00:04:44.483023+00:00,2026-04-27T00:04:44.483023+00:00,2026-04-27T11:56:00.061039+00:00,loss,Invalidation,-2.94818889,-1.0,1.2825,-1.2825,0.2081,0.20196481892857143,0.2141738292607143,0.22037036214285716,False,0.3619,0.6630816774632404
quality_soft,46,SEIUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-27T01:50:28.551390+00:00,2026-04-27T01:50:28.551390+00:00,2026-04-30T23:56:37.107812+00:00,loss,Invalidation,-7.34892281,-1.0,1.2678,-1.2678,0.06326,0.05861107142857143,0.06832733214285713,0.07255785714285713,False,0.7327,-0.40266542898841684
quality_soft,47,1000PEPEUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T04:02:39.603957+00:00,2026-04-27T04:02:39.603957+00:00,2026-04-27T07:56:49.299071+00:00,loss,Invalidation,-2.27721377,-1.0,1.2825,-1.2825,0.0040048,0.003913602142857143,0.004095085878571428,0.004187195714285714,False,0.4086,0.829668475976292
quality_soft,49,SPKUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T04:02:43.626465+00:00,2026-04-27T04:02:43.626465+00:00,2026-04-27T11:56:00.061039+00:00,loss,Invalidation,-7.93858599,-1.0,1.2411,-1.2411,0.03874,0.03566459178571428,0.04178465413214286,0.04489081642857143,False,0.4086,0.16792663325711935
quality_soft,50,MONUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T04:02:46.633158+00:00,2026-04-27T04:02:46.633158+00:00,2026-04-27T11:56:00.061039+00:00,loss,Invalidation,-3.69866835,-1.0,1.2569,-1.2569,0.03272,0.031509795714285714,0.03391810224285714,0.03514040857142857,False,0.4086,0.27019177692784824
quality_soft,51,GENIUSUSDT,15m,Continuation,Bullish,Ranging,Medium,market,2026-04-27T04:58:42.179294+00:00,2026-04-27T04:58:42.179294+00:00,2026-04-27T05:29:12.826355+00:00,loss,Invalidation,-0.63449337,-1.0,0.5757,-0.5757,0.5944,0.5906285714285715,0.5984354285714286,0.6019428571428571,False,0.3279,-0.28774915398265
quality_soft,52,AXSUSDT,15m,Continuation,Bullish,Balanced,Medium,market,2026-04-27T14:08:28.137705+00:00,2026-04-27T14:08:28.137705+00:00,2026-04-27T15:14:41.059541+00:00,win,Partial TP1,0.71448806,0.535,1.3367,0.7151345,1.412,1.393142857142857,1.4321771428571428,1.4497142857142857,False,0.321,0.326850278984584
quality_soft,53,APEUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:41:16.652168+00:00,win,Target 2,1.83665492,1.495,0.421,0.629395,0.1439,0.14213214285714285,0.1456501785714286,0.1474357142857143,True,0.4026,0.2613758846592708
quality_soft,54,SIRENUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T06:38:24.522862+00:00,2026-04-28T06:38:24.522862+00:00,2026-04-28T09:57:09.555167+00:00,win,Continuation Trail Stop,1.20641943,0.58318017,0.6265,0.36536238,0.6992,0.6847357142857143,0.7135196428571429,0.7281285714285715,True,0.4311,-0.20252158733565198
