candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
quality_soft,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
quality_soft,5,HYPEUSDT,1h,Continuation,Bullish,2026-04-23T15:00:11.891755+00:00,guard_low_volatility,
quality_soft,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
quality_soft,15,币安人生USDT,1h,Continuation,Bullish,2026-04-25T07:04:44.230290+00:00,guard_timeframe_1h,
quality_soft,29,MINAUSDT,24h,Continuation,Bullish,2026-04-26T11:15:45.056158+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
quality_soft,33,XLMUSDT,1h,Continuation,Bullish,2026-04-26T12:00:06.513600+00:00,guard_timeframe_1h,
quality_soft,36,INJUSDT,15m,Continuation,Bullish,2026-04-26T15:26:42.012694+00:00,guard_low_volatility,
quality_soft,39,AAVEUSDT,4h,Continuation,Bullish,2026-04-26T20:00:03.797533+00:00,guard_low_volatility,
quality_soft,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,guard_low_volatility,
quality_soft,45,VIRTUALUSDT,1h,Continuation,Bullish,2026-04-27T01:04:42.335016+00:00,guard_timeframe_1h,
quality_soft,48,AAVEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:41.499745+00:00,guard_low_volatility,
quality_soft,58,CLUSDT,4h,Continuation,Bullish,2026-04-28T10:49:15.013450+00:00,guard_low_volatility,
quality_soft,59,BZUSDT,4h,Continuation,Bullish,2026-04-28T12:02:57.289108+00:00,guard_low_volatility,
quality_soft,67,AXSUSDT,15m,Continuation,Bullish,2026-04-29T03:45:59.305849+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
quality_soft,69,API3USDT,1h,Continuation,Bullish,2026-04-29T06:04:20.466984+00:00,guard_timeframe_1h,
quality_soft,71,DOGEUSDT,4h,Continuation,Bullish,2026-04-29T10:06:56.772876+00:00,entry_guard_rejected,"entry_drift_too_far,market_tp1_progress_too_far,pullback_tp1_progress_too_far,tp1_already_touched_before_entry"
quality_soft,73,CLUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.428150+00:00,guard_low_volatility,
quality_soft,74,BZUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.754659+00:00,guard_low_volatility,
quality_soft,75,SNDKUSDT,4h,Continuation,Bullish,2026-04-30T12:01:14.590129+00:00,guard_low_volatility,
quality_soft,76,SOLVUSDT,15m,Continuation,Bullish,2026-04-30T14:10:50.171385+00:00,guard_quality_score_outside_mid,
quality_soft,77,API3USDT,15m,Continuation,Bullish,2026-05-01T02:29:27.500851+00:00,guard_quality_score_outside_mid,
quality_soft,78,1000LUNCUSDT,15m,Continuation,Bullish,2026-05-01T03:56:05.034252+00:00,guard_quality_score_outside_mid,
quality_soft,79,1000BONKUSDT,1h,Continuation,Bullish,2026-05-01T04:01:11.891979+00:00,guard_timeframe_1h,
quality_soft,80,MONUSDT,15m,Continuation,Bullish,2026-05-01T08:21:23.352575+00:00,guard_quality_score_outside_mid,
quality_soft,84,FETUSDT,1h,Continuation,Bullish,2026-05-01T13:01:43.920498+00:00,guard_timeframe_1h,
quality_soft,85,FARTCOINUSDT,4h,Continuation,Bullish,2026-05-01T16:00:05.434939+00:00,guard_quality_score_outside_mid,
quality_soft,86,1000BONKUSDT,4h,Continuation,Bullish,2026-05-01T16:00:06.216040+00:00,guard_quality_score_outside_mid,
quality_soft,87,MSTRUSDT,4h,Continuation,Bullish,2026-05-01T20:04:46.852781+00:00,guard_low_volatility,
quality_soft,88,LUMIAUSDT,15m,Continuation,Bullish,2026-05-02T00:55:39.207781+00:00,guard_quality_score_outside_mid,
quality_soft,89,LITUSDT,15m,Continuation,Bullish,2026-05-02T01:41:30.105255+00:00,guard_quality_score_outside_mid,
quality_soft,90,币安人生USDT,15m,Continuation,Bullish,2026-05-02T02:27:27.646962+00:00,guard_quality_score_outside_mid,
