strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,entry_price,stop_loss,target_price_1,target_price_2,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type
v2_balanced_continuation_only,2026-04-03T01:12:59.646363+00:00,2026-04-03T01:28:17.287677+00:00,BRUSDT,15m,Continuation,Bullish,Trending,High,win,Partial TP1,0.495,0.544995,1.89622677,0.15196,0.14613877535714287,0.15772301239642858,0.1636024492857143,0.8261,0.7579,0.85,0.8261,-0.48523927173417825,1.6879829299117781,0.02714521829885195,Continuation Pullback
v2_balanced_continuation_only,2026-04-05T07:59:39.473267+00:00,2026-04-05T08:55:53.659860+00:00,BRUSDT,1h,Continuation,Bullish,Trending,High,loss,Invalidation,-1.0,-1.2539,-3.75971637,0.18714,0.18010406678571428,0.19410557388214286,0.20121186642857145,0.8792,0.8968,0.85,0.8792,0.0,-0.8970183743768343,0.6175698649979454,Continuation Pullback
v2_balanced_continuation_only,2026-04-22T20:59:57.541650+00:00,2026-04-23T01:59:59.999000+00:00,BSBUSDT,1h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.03156468,-0.01820335,-0.20362905,0.35725748,0.33421019750000003,0.380074289675,0.403352045,0.8485,0.7921,0.85,0.8485,-0.5227067123342111,0.22277267919958163,0.22520586542986323,Continuation Pullback
v2_balanced_continuation_only,2026-04-14T07:55:20.338849+00:00,2026-04-14T15:59:13.419632+00:00,TSLAUSDT,4h,Continuation,Bullish,Balanced,Low,win,Partial TP1,0.56,0.6804,0.8018606,357.96,352.8343925110714,363.70068038759996,368.2112149778571,0.9015,0.9804,1.0,0.9015,1.380122384777782,-0.18582089261992374,0.677125422242518,Continuation Pullback
v2_balanced_continuation_only,2026-04-17T23:56:41.953640+00:00,2026-04-21T23:59:22.417442+00:00,BTCUSDT,24h,Continuation,Bullish,Trending,Low,loss,Fail-Fast Exit,-0.2243021,-0.27252705,-1.01961382,77073.9247029,73570.36238265214,80997.9145015776,84081.04934339572,0.8821,0.9183,1.0,0.8821,-0.6422668573286487,-2.9985227402030192,-0.5517576178800268,Continuation Pullback
v2_balanced_continuation_only,2026-05-04T23:59:02.733698+00:00,2026-05-08T01:55:26.012254+00:00,BTCUSDT,24h,Continuation,Bullish,Trending,Low,open,,0.44180054,0.53678765,1.56604767,79806.0,76977.12160403679,82974.3438034788,85463.75679192643,0.8779,0.8605,1.0,0.8779,0.48602175917740015,2.4918255399129174,0.2769835420250077,Continuation Pullback
v2_balanced_continuation_only,2026-04-21T03:59:59.999000+00:00,2026-04-21T19:59:59.999000+00:00,SAFEUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.208,-0.1333696,-0.81812461,0.1589,0.15265,0.16508750000000003,0.17140000000000002,0.9012,0.9226,1.0,0.9012,,,0.40955026322564786,Continuation Pullback
v2_balanced_continuation_only,2026-04-25T03:59:59.999000+00:00,2026-04-25T07:59:59.999000+00:00,SAFEUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.52,1.922344,6.19921034,0.1592,0.15270714285714287,0.16595257142857142,0.17218571428571428,0.8762,0.9445,0.85,0.8762,,,0.6227988592823299,Continuation Pullback
v2_balanced_continuation_only,2026-05-02T19:59:59.999000+00:00,2026-05-03T03:59:59.999000+00:00,AKTUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.495,0.6348375,2.28313082,0.5661,0.5399892857142857,0.5919496071428573,0.6183214285714287,0.904,0.9404,1.0,0.904,,,0.707782288110526,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T07:59:59.999000+00:00,2026-05-03T11:59:59.999000+00:00,AKTUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.545,0.6989625,2.993176,0.6194,0.5853821428571427,0.6564794642857144,0.6874357142857144,0.902,0.9424,1.0,0.902,-0.8350313211528506,-0.2025398224682441,0.5213543624080782,Continuation Pullback
