candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
ema_only,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
ema_only,2,1000SHIBUSDT,15m,Continuation,Bullish,2026-04-23T05:07:58.482377+00:00,guard_ema_trend_not_aligned,
ema_only,3,SEIUSDT,15m,Continuation,Bullish,2026-04-23T06:40:50.276974+00:00,guard_ema_trend_not_aligned,
ema_only,4,MASKUSDT,24h,Continuation,Bullish,2026-04-23T08:02:10.726639+00:00,guard_ema_missing,
ema_only,6,RAVEUSDT,15m,Continuation,Bullish,2026-04-24T08:04:05.030956+00:00,guard_ema_trend_not_aligned,
ema_only,10,PIPPINUSDT,4h,Continuation,Bullish,2026-04-24T20:03:12.819715+00:00,guard_ema_trend_not_aligned,
ema_only,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,guard_ema_trend_not_aligned,
ema_only,12,FILUSDT,24h,Continuation,Bullish,2026-04-24T21:44:55.633568+00:00,guard_ema_trend_not_aligned,
ema_only,15,币安人生USDT,1h,Continuation,Bullish,2026-04-25T07:04:44.230290+00:00,guard_ema_trend_not_aligned,
ema_only,18,QUSDT,15m,Continuation,Bullish,2026-04-25T08:56:46.260822+00:00,guard_ema_trend_not_aligned,
ema_only,19,ADAUSDT,15m,Continuation,Bearish,2026-04-25T11:44:49.786325+00:00,guard_ema_trend_not_aligned,
ema_only,25,KATUSDT,15m,Continuation,Bullish,2026-04-26T10:32:15.906317+00:00,guard_ema_trend_not_aligned,
ema_only,28,LPTUSDT,24h,Continuation,Bullish,2026-04-26T10:57:51.411188+00:00,guard_ema_missing,
ema_only,29,MINAUSDT,24h,Continuation,Bullish,2026-04-26T11:15:45.056158+00:00,guard_ema_trend_not_aligned,
ema_only,30,SOONUSDT,15m,Continuation,Bullish,2026-04-26T11:55:38.412031+00:00,guard_ema_trend_not_aligned,
ema_only,33,XLMUSDT,1h,Continuation,Bullish,2026-04-26T12:00:06.513600+00:00,guard_ema_trend_not_aligned,
ema_only,38,AXSUSDT,15m,Continuation,Bullish,2026-04-26T19:28:37.060134+00:00,guard_ema_trend_not_aligned,
ema_only,41,SONICUSDT,15m,Continuation,Bearish,2026-04-26T21:54:51.827206+00:00,guard_ema_trend_not_aligned,
ema_only,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,entry_guard_rejected,"entry_drift_too_far,market_tp1_progress_too_far,pullback_tp1_progress_too_far"
ema_only,49,SPKUSDT,4h,Continuation,Bullish,2026-04-27T04:02:43.626465+00:00,guard_ema_trend_not_aligned,
ema_only,52,AXSUSDT,15m,Continuation,Bullish,2026-04-27T14:08:28.137705+00:00,guard_ema_trend_not_aligned,
ema_only,53,APEUSDT,15m,Continuation,Bullish,2026-04-28T04:00:32.395208+00:00,guard_ema_trend_not_aligned,
ema_only,60,CRVUSDT,15m,Continuation,Bullish,2026-04-28T13:29:34.569642+00:00,guard_ema_trend_not_aligned,
ema_only,61,PRLUSDT,15m,Continuation,Bullish,2026-04-28T18:20:45.849038+00:00,guard_ema_trend_not_aligned,
ema_only,67,AXSUSDT,15m,Continuation,Bullish,2026-04-29T03:45:59.305849+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
ema_only,71,DOGEUSDT,4h,Continuation,Bullish,2026-04-29T10:06:56.772876+00:00,entry_guard_rejected,"entry_drift_too_far,market_tp1_progress_too_far,pullback_tp1_progress_too_far,tp1_already_touched_before_entry"
ema_only,79,1000BONKUSDT,1h,Continuation,Bullish,2026-05-01T04:01:11.891979+00:00,guard_ema_trend_not_aligned,
ema_only,82,SOLVUSDT,15m,Continuation,Bullish,2026-05-01T10:54:12.302371+00:00,guard_ema_trend_not_aligned,
ema_only,84,FETUSDT,1h,Continuation,Bullish,2026-05-01T13:01:43.920498+00:00,guard_ema_trend_not_aligned,
ema_only,87,MSTRUSDT,4h,Continuation,Bullish,2026-05-01T20:04:46.852781+00:00,guard_ema_trend_not_aligned,
ema_only,89,LITUSDT,15m,Continuation,Bullish,2026-05-02T01:41:30.105255+00:00,guard_ema_trend_not_aligned,
ema_only,92,FETUSDT,4h,Continuation,Bullish,2026-05-02T16:03:08.033657+00:00,guard_ema_trend_not_aligned,
ema_only,93,PIEVERSEUSDT,4h,Continuation,Bullish,2026-05-02T16:03:08.692762+00:00,guard_ema_trend_not_aligned,
