candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
ema_pullback_only,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,guard_ema_slope_not_aligned,
ema_pullback_only,2,1000SHIBUSDT,15m,Continuation,Bullish,2026-04-23T05:07:58.482377+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,3,SEIUSDT,15m,Continuation,Bullish,2026-04-23T06:40:50.276974+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,4,MASKUSDT,24h,Continuation,Bullish,2026-04-23T08:02:10.726639+00:00,guard_ema_missing,
ema_pullback_only,5,HYPEUSDT,1h,Continuation,Bullish,2026-04-23T15:00:11.891755+00:00,guard_ema_extension_too_far,
ema_pullback_only,6,RAVEUSDT,15m,Continuation,Bullish,2026-04-24T08:04:05.030956+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,9,TRUMPUSDT,24h,Continuation,Bullish,2026-04-24T15:48:45.639282+00:00,guard_ema_slope_not_aligned,
ema_pullback_only,10,PIPPINUSDT,4h,Continuation,Bullish,2026-04-24T20:03:12.819715+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,12,FILUSDT,24h,Continuation,Bullish,2026-04-24T21:44:55.633568+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,15,币安人生USDT,1h,Continuation,Bullish,2026-04-25T07:04:44.230290+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,18,QUSDT,15m,Continuation,Bullish,2026-04-25T08:56:46.260822+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,19,ADAUSDT,15m,Continuation,Bearish,2026-04-25T11:44:49.786325+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,20,MOVRUSDT,15m,Continuation,Bullish,2026-04-25T23:12:16.621452+00:00,guard_ema_extension_too_far,
ema_pullback_only,25,KATUSDT,15m,Continuation,Bullish,2026-04-26T10:32:15.906317+00:00,guard_ema_trend_not_aligned,
ema_pullback_only,28,LPTUSDT,24h,Continuation,Bullish,2026-04-26T10:57:51.411188+00:00,guard_ema_missing,
