candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
tf_simple,1,APEUSDT,4h,Continuation,Bullish,2026-04-23T01:43:45.640813+00:00,guard_market_pressure_4h_high,
tf_simple,2,1000SHIBUSDT,15m,Continuation,Bullish,2026-04-23T05:07:58.482377+00:00,guard_quality_not_ready,
tf_simple,3,SEIUSDT,15m,Continuation,Bullish,2026-04-23T06:40:50.276974+00:00,guard_quality_not_ready,
tf_simple,5,HYPEUSDT,1h,Continuation,Bullish,2026-04-23T15:00:11.891755+00:00,guard_low_volatility,
tf_simple,6,RAVEUSDT,15m,Continuation,Bullish,2026-04-24T08:04:05.030956+00:00,guard_quality_not_ready,
tf_simple,7,MAGMAUSDT,15m,Continuation,Bullish,2026-04-24T10:26:31.962543+00:00,guard_quality_not_ready,
tf_simple,8,GALAUSDT,4h,Continuation,Bullish,2026-04-24T12:04:56.081605+00:00,guard_market_pressure_4h_high,
tf_simple,10,PIPPINUSDT,4h,Continuation,Bullish,2026-04-24T20:03:12.819715+00:00,guard_market_pressure_4h_high,
tf_simple,11,INJUSDT,24h,Continuation,Bullish,2026-04-24T20:49:00.542430+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,13,ENAUSDT,15m,Continuation,Bullish,2026-04-25T01:33:59.000209+00:00,guard_quality_not_ready,
tf_simple,14,GALAUSDT,4h,Continuation,Bullish,2026-04-25T04:01:35.760746+00:00,guard_market_pressure_4h_high,
tf_simple,15,币安人生USDT,1h,Continuation,Bullish,2026-04-25T07:04:44.230290+00:00,guard_timeframe_1h,
tf_simple,16,KATUSDT,15m,Continuation,Bullish,2026-04-25T07:40:22.993297+00:00,guard_quality_not_ready,
tf_simple,18,QUSDT,15m,Continuation,Bullish,2026-04-25T08:56:46.260822+00:00,guard_quality_not_ready,
tf_simple,19,ADAUSDT,15m,Continuation,Bearish,2026-04-25T11:44:49.786325+00:00,guard_quality_not_ready,
tf_simple,20,MOVRUSDT,15m,Continuation,Bullish,2026-04-25T23:12:16.621452+00:00,guard_quality_not_ready,
tf_simple,21,ENJUSDT,15m,Continuation,Bullish,2026-04-26T00:59:13.367085+00:00,guard_quality_not_ready,
tf_simple,25,KATUSDT,15m,Continuation,Bullish,2026-04-26T10:32:15.906317+00:00,guard_quality_not_ready,
tf_simple,26,ENSOUSDT,15m,Continuation,Bullish,2026-04-26T10:47:38.664674+00:00,guard_quality_not_ready,
tf_simple,29,MINAUSDT,24h,Continuation,Bullish,2026-04-26T11:15:45.056158+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,30,SOONUSDT,15m,Continuation,Bullish,2026-04-26T11:55:38.412031+00:00,guard_quality_not_ready,
tf_simple,31,1000PEPEUSDT,4h,Continuation,Bullish,2026-04-26T12:00:01.672812+00:00,guard_market_pressure_4h_high,
tf_simple,32,PENGUUSDT,4h,Continuation,Bullish,2026-04-26T12:00:03.838952+00:00,guard_market_pressure_4h_high,
tf_simple,33,XLMUSDT,1h,Continuation,Bullish,2026-04-26T12:00:06.513600+00:00,guard_timeframe_1h,
tf_simple,34,ORCAUSDT,15m,Continuation,Bullish,2026-04-26T13:28:18.332461+00:00,guard_quality_not_ready,
tf_simple,35,SEIUSDT,15m,Continuation,Bullish,2026-04-26T14:24:55.296885+00:00,guard_quality_not_ready,
tf_simple,36,INJUSDT,15m,Continuation,Bullish,2026-04-26T15:26:42.012694+00:00,guard_low_volatility,
tf_simple,37,CHZUSDT,4h,Continuation,Bullish,2026-04-26T16:00:05.498613+00:00,guard_market_pressure_4h_high,
tf_simple,38,AXSUSDT,15m,Continuation,Bullish,2026-04-26T19:28:37.060134+00:00,guard_quality_not_ready,
tf_simple,39,AAVEUSDT,4h,Continuation,Bullish,2026-04-26T20:00:03.797533+00:00,guard_low_volatility,
tf_simple,40,HIGHUSDT,15m,Continuation,Bullish,2026-04-26T20:20:05.694944+00:00,guard_quality_not_ready,
tf_simple,41,SONICUSDT,15m,Continuation,Bearish,2026-04-26T21:54:51.827206+00:00,guard_quality_not_ready,
tf_simple,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,guard_low_volatility,
tf_simple,44,FARTCOINUSDT,4h,Continuation,Bullish,2026-04-27T00:04:44.483023+00:00,guard_market_pressure_4h_high,
tf_simple,45,VIRTUALUSDT,1h,Continuation,Bullish,2026-04-27T01:04:42.335016+00:00,guard_timeframe_1h,
tf_simple,47,1000PEPEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:39.603957+00:00,guard_market_pressure_4h_high,
tf_simple,48,AAVEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:41.499745+00:00,guard_low_volatility,
tf_simple,51,GENIUSUSDT,15m,Continuation,Bullish,2026-04-27T04:58:42.179294+00:00,guard_quality_not_ready,
tf_simple,52,AXSUSDT,15m,Continuation,Bullish,2026-04-27T14:08:28.137705+00:00,guard_quality_not_ready,
tf_simple,56,ORCAUSDT,15m,Continuation,Bullish,2026-04-28T08:55:56.692015+00:00,guard_market_pressure_4h_high,
tf_simple,58,CLUSDT,4h,Continuation,Bullish,2026-04-28T10:49:15.013450+00:00,guard_low_volatility,
tf_simple,59,BZUSDT,4h,Continuation,Bullish,2026-04-28T12:02:57.289108+00:00,guard_low_volatility,
tf_simple,62,KATUSDT,15m,Continuation,Bullish,2026-04-28T19:11:41.560976+00:00,guard_market_pressure_4h_high,
tf_simple,63,OPENUSDT,15m,Continuation,Bullish,2026-04-28T23:26:23.210541+00:00,guard_market_pressure_4h_high,
tf_simple,64,BIOUSDT,4h,Continuation,Bullish,2026-04-29T00:02:01.300062+00:00,guard_market_pressure_4h_high,
tf_simple,67,AXSUSDT,15m,Continuation,Bullish,2026-04-29T03:45:59.305849+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,69,API3USDT,1h,Continuation,Bullish,2026-04-29T06:04:20.466984+00:00,guard_timeframe_1h,
tf_simple,71,DOGEUSDT,4h,Continuation,Bullish,2026-04-29T10:06:56.772876+00:00,guard_market_pressure_4h_high,
tf_simple,73,CLUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.428150+00:00,guard_low_volatility,
tf_simple,74,BZUSDT,4h,Continuation,Bullish,2026-04-30T04:00:19.754659+00:00,guard_low_volatility,
tf_simple,75,SNDKUSDT,4h,Continuation,Bullish,2026-04-30T12:01:14.590129+00:00,guard_low_volatility,
tf_simple,76,SOLVUSDT,15m,Continuation,Bullish,2026-04-30T14:10:50.171385+00:00,guard_quality_score_outside_mid,
tf_simple,77,API3USDT,15m,Continuation,Bullish,2026-05-01T02:29:27.500851+00:00,guard_quality_score_outside_mid,
tf_simple,78,1000LUNCUSDT,15m,Continuation,Bullish,2026-05-01T03:56:05.034252+00:00,guard_quality_score_outside_mid,
tf_simple,79,1000BONKUSDT,1h,Continuation,Bullish,2026-05-01T04:01:11.891979+00:00,guard_timeframe_1h,
tf_simple,80,MONUSDT,15m,Continuation,Bullish,2026-05-01T08:21:23.352575+00:00,guard_quality_score_outside_mid,
tf_simple,84,FETUSDT,1h,Continuation,Bullish,2026-05-01T13:01:43.920498+00:00,guard_timeframe_1h,
tf_simple,87,MSTRUSDT,4h,Continuation,Bullish,2026-05-01T20:04:46.852781+00:00,guard_low_volatility,
tf_simple,88,LUMIAUSDT,15m,Continuation,Bullish,2026-05-02T00:55:39.207781+00:00,guard_quality_score_outside_mid,
tf_simple,89,LITUSDT,15m,Continuation,Bullish,2026-05-02T01:41:30.105255+00:00,guard_quality_score_outside_mid,
tf_simple,90,币安人生USDT,15m,Continuation,Bullish,2026-05-02T02:27:27.646962+00:00,guard_quality_score_outside_mid,
tf_simple,91,CHIPUSDT,15m,Continuation,Bullish,2026-05-02T14:31:12.290965+00:00,guard_quality_score_outside_mid,
tf_simple,94,GIGGLEUSDT,4h,Continuation,Bullish,2026-05-02T20:03:03.196508+00:00,guard_low_volatility,
tf_simple,95,OPGUSDT,4h,Continuation,Bullish,2026-05-03T04:02:54.915649+00:00,guard_market_pressure_4h_high,
tf_simple,96,ORDIUSDT,15m,Continuation,Bullish,2026-05-03T07:57:44.137116+00:00,guard_low_volatility,
tf_simple,98,WLFIUSDT,15m,Continuation,Bullish,2026-05-03T10:56:20.080549+00:00,guard_quality_score_outside_mid,
tf_simple,100,ZECUSDT,4h,Continuation,Bullish,2026-05-03T16:02:47.035349+00:00,guard_low_volatility,
tf_simple,102,ENAUSDT,1h,Continuation,Bullish,2026-05-03T21:04:00.563812+00:00,guard_timeframe_1h,
tf_simple,103,TAOUSDT,4h,Continuation,Bullish,2026-05-04T04:02:54.406093+00:00,guard_low_volatility,
tf_simple,106,RENDERUSDT,4h,Continuation,Bullish,2026-05-04T04:07:21.086450+00:00,guard_market_pressure_4h_high,
tf_simple,108,ETHUSDT,4h,Continuation,Bullish,2026-05-04T04:07:22.204651+00:00,guard_low_volatility,
tf_simple,109,VIRTUALUSDT,24h,Continuation,Bullish,2026-05-04T04:17:38.620049+00:00,symbol_locked_open_position,
tf_simple,112,DASHUSDT,4h,Continuation,Bullish,2026-05-04T08:01:25.195561+00:00,guard_low_volatility,
tf_simple,113,LINKUSDT,24h,Continuation,Bullish,2026-05-04T09:17:44.043146+00:00,guard_low_volatility,
tf_simple,116,1000PEPEUSDT,15m,Continuation,Bullish,2026-05-04T14:23:15.524115+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,118,ETHUSDT,24h,Continuation,Bullish,2026-05-04T14:53:47.078709+00:00,guard_low_volatility,
tf_simple,119,BTCUSDT,24h,Continuation,Bullish,2026-05-04T15:03:58.953529+00:00,guard_low_volatility,
tf_simple,120,DASHUSDT,15m,Continuation,Bullish,2026-05-04T15:14:11.208738+00:00,guard_low_volatility,
tf_simple,121,BZUSDT,4h,Continuation,Bullish,2026-05-04T16:00:06.851487+00:00,guard_low_volatility,
tf_simple,122,MEGAUSDT,4h,Continuation,Bullish,2026-05-04T16:00:08.146517+00:00,guard_market_pressure_4h_high,
tf_simple,124,TONUSDT,24h,Continuation,Bullish,2026-05-04T20:04:39.476747+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,125,HYPEUSDT,24h,Continuation,Bullish,2026-05-04T22:06:55.752615+00:00,guard_low_volatility,
tf_simple,126,XMRUSDT,24h,Continuation,Bullish,2026-05-04T23:23:25.654678+00:00,guard_low_volatility,
tf_simple,127,ZECUSDT,4h,Continuation,Bullish,2026-05-05T00:04:12.090067+00:00,guard_low_volatility,
tf_simple,128,TIAUSDT,4h,Continuation,Bullish,2026-05-05T04:03:42.775901+00:00,guard_market_pressure_4h_high,
tf_simple,134,NEIROUSDT,4h,Continuation,Bullish,2026-05-05T12:02:41.237365+00:00,guard_market_pressure_4h_high,
tf_simple,136,SUIUSDT,24h,Continuation,Bullish,2026-05-05T13:39:31.282880+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,137,TRUMPUSDT,1h,Continuation,Bullish,2026-05-05T15:01:01.968686+00:00,guard_timeframe_1h,
tf_simple,139,MONUSDT,4h,Continuation,Bullish,2026-05-05T16:02:15.127579+00:00,guard_market_pressure_4h_high,
tf_simple,146,ADAUSDT,24h,Continuation,Bullish,2026-05-05T23:20:30.215190+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,147,ZENUSDT,4h,Continuation,Bullish,2026-05-06T00:01:13.131488+00:00,guard_market_pressure_4h_high,
tf_simple,149,NFPUSDT,15m,Continuation,Bullish,2026-05-06T01:43:12.476922+00:00,guard_market_pressure_4h_high,
tf_simple,151,AVAXUSDT,4h,Continuation,Bullish,2026-05-06T04:00:49.298585+00:00,guard_low_volatility,
tf_simple,155,TONUSDT,24h,Continuation,Bullish,2026-05-06T04:16:08.139966+00:00,entry_guard_rejected,"price_already_touched_sl_before_entry,price_already_touched_sl_before_entry"
tf_simple,156,ZECUSDT,4h,Continuation,Bullish,2026-05-06T08:00:19.124999+00:00,guard_low_volatility,
tf_simple,157,1000BONKUSDT,4h,Continuation,Bullish,2026-05-06T08:00:22.311472+00:00,guard_market_pressure_4h_high,
tf_simple,159,ETCUSDT,24h,Continuation,Bullish,2026-05-06T08:56:27.888871+00:00,symbol_locked_open_position,
tf_simple,160,SOLUSDT,24h,Continuation,Bullish,2026-05-06T12:00:06.443699+00:00,guard_low_volatility,
tf_simple,163,ICPUSDT,4h,Continuation,Bullish,2026-05-06T12:00:11.395164+00:00,guard_market_pressure_4h_high,
tf_simple,164,BNBUSDT,24h,Continuation,Bullish,2026-05-06T14:38:17.818248+00:00,guard_low_volatility,
tf_simple,166,ARBUSDT,15m,Continuation,Bullish,2026-05-06T15:29:14.187207+00:00,guard_market_pressure_4h_high,
tf_simple,170,SAHARAUSDT,4h,Continuation,Bullish,2026-05-06T20:04:47.555506+00:00,guard_market_pressure_4h_high,
