Strategy,EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Volatility,Bias,Confidence,PnL_Pct,R_Multiple,Result,EMA30,EMA100,EntryPrice,FlowAlignment,VolumeZ15m,OIZ15m
v2_balanced_current,2026-04-10T07:59:59.999000+00:00,2026-04-10T11:59:59.999000+00:00,DASHUSDT,4h,Continuation,Trending,Low,Bullish,0.8704,3.1816,0.56,win,32.895648,31.39706,39.32,0.9353,0.0,0.0
v2_balanced_current,2026-04-21T11:59:59.999000+00:00,2026-04-22T19:59:59.999000+00:00,DASHUSDT,4h,Continuation,Trending,Low,Bullish,0.8573,3.2627,0.7906,win,36.599695,36.045324,35.43,0.9173,-0.6886,-0.0322
v2_balanced_current,2026-04-24T11:59:59.999000+00:00,2026-04-25T03:59:59.999000+00:00,DASHUSDT,4h,Continuation,Trending,Low,Bullish,0.8648,-2.3611,-0.5804,loss,36.192784,36.032305,37.27,0.8503,0.8192,1.488
v2_balanced_current,2026-04-22T10:12:54.710473+00:00,2026-04-22T10:29:59.999000+00:00,METUSDT,15m,Continuation,Balanced,High,Bullish,0.8382,-2.1523,-1.0,loss,0.187916,0.174059,0.194272,0.8096,0.7337,1.2857
v2_balanced_current,2026-04-28T13:29:32.842533+00:00,2026-04-28T14:25:44.925210+00:00,MINAUSDT,15m,Continuation,Ranging,High,Bullish,0.8294,-0.3928,-1.0,loss,0.061597,0.062037,0.06164,0.7595,1.0553,0.892
v2_balanced_current,2026-04-16T23:59:32.515981+00:00,2026-04-19T23:56:56.396337+00:00,DOGEUSDT,24h,Continuation,Trending,High,Bullish,0.9075,-5.5915,-1.0,loss,0.093084,0.092588,0.099212,1.0,-0.3788,0.004
v2_balanced_current,2026-04-22T07:55:28.153997+00:00,2026-04-22T23:59:59.999000+00:00,DOGEUSDT,4h,Continuation,Balanced,High,Bullish,0.8873,-1.8613,-1.0,loss,0.095363,0.094133,0.09744,0.9544,3.1304,-0.5452
v2_balanced_current,2026-04-29T00:27:29.677948+00:00,2026-04-29T01:28:34.589042+00:00,DOGEUSDT,15m,Continuation,Ranging,High,Bullish,0.8365,-0.0602,-0.1682,loss,0.099409,0.099178,0.09963,0.7977,1.7886,0.7166
v2_balanced_current,2026-04-07T21:55:27.286382+00:00,2026-04-07T22:56:45.005958+00:00,DOTUSDT,1h,Continuation,Trending,Medium,Bullish,0.8831,2.0262,1.535,win,1.232105,1.233436,1.2704,0.9172,3.1262,-5.8777
v2_balanced_current,2026-04-23T19:59:44.649532+00:00,2026-04-24T11:59:47.962794+00:00,DOTUSDT,4h,Continuation,Balanced,Medium,Bearish,0.4692,-1.3915,-0.5961,loss,1.269353,1.26017,1.237777,0.9048,-0.232,1.4545
v2_balanced_current,2026-04-22T15:59:44.830524+00:00,2026-04-22T19:58:52.579286+00:00,STRKUSDT,4h,Continuation,Trending,High,Bullish,0.8558,2.4842,0.495,win,0.036902,0.036557,0.04149,0.9268,1.2401,-0.5751
v2_balanced_current,2026-04-14T11:59:41.857830+00:00,2026-04-14T15:59:13.419632+00:00,MONUSDT,4h,Continuation,Trending,High,Bullish,0.8822,-5.2879,-1.0,loss,0.033827,0.030436,0.037232,0.853,1.1829,0.256
v2_balanced_current,2026-04-13T23:56:29.181229+00:00,2026-04-14T15:59:13.419632+00:00,SUIUSDT,4h,Continuation,Trending,High,Bullish,0.8626,-1.6447,-0.6069,loss,0.919562,0.898402,0.9594,0.9634,-0.0986,-0.2908
v2_balanced_current,2026-04-16T03:59:07.940381+00:00,2026-04-16T19:59:21.500080+00:00,SUIUSDT,4h,Continuation,Balanced,High,Bullish,0.871,1.2471,0.495,win,0.936066,0.90945,0.9736,0.8788,3.837,-1.3693
v2_balanced_current,2026-04-22T03:59:59.999000+00:00,2026-04-22T07:59:59.999000+00:00,1000LUNCUSDT,4h,Continuation,Trending,High,Bullish,0.824,1.6194,0.495,win,0.042887,0.042371,0.04524,0.7209,0.0,0.0
v2_balanced_current,2026-04-23T19:59:59.999000+00:00,2026-04-23T23:59:59.999000+00:00,1000LUNCUSDT,4h,Continuation,Trending,High,Bullish,0.8658,6.6856,1.545,win,0.044101,0.042917,0.0464,0.9043,4.1899,1.424
v2_balanced_current,2026-04-18T16:42:30.217195+00:00,2026-04-18T17:43:33.578644+00:00,SUSHIUSDT,15m,Continuation,Ranging,Medium,Bearish,0.8366,-0.2116,-0.4529,loss,0.216608,0.217731,0.2148,0.6652,-0.5683,0.5981
v2_balanced_current,2026-04-25T23:12:16.377462+00:00,2026-04-26T00:13:23.805582+00:00,MOVRUSDT,15m,Continuation,Balanced,Medium,Bullish,0.8685,-2.0372,-1.0,loss,2.436962,2.366288,2.514,0.655,-0.4494,1.0362
v2_balanced_current,2026-04-14T07:55:20.338849+00:00,2026-04-14T15:59:13.419632+00:00,MSTRUSDT,4h,Continuation,Balanced,Low,Bullish,0.8724,3.4002,1.56,win,129.185724,127.207472,135.683442,0.9701,4.9491,-0.1942
v2_balanced_current,2026-04-22T02:57:37.826873+00:00,2026-04-22T10:59:59.999000+00:00,1000SHIBUSDT,1h,Continuation,Balanced,High,Bullish,0.8894,0.5114,0.495,win,0.006057,0.006029,0.006186,1.0,4.0904,0.7063
v2_balanced_current,2026-04-24T09:40:43.464314+00:00,2026-04-24T10:57:02.690677+00:00,TACUSDT,15m,Continuation,Balanced,High,Bullish,0.8407,-0.1253,-0.053,loss,0.008783,0.00872,0.008779,0.6812,0.0,1.6925
v2_balanced_current,2026-04-29T08:29:27.058746+00:00,2026-04-30T01:59:59.999000+00:00,TACUSDT,15m,Continuation,Balanced,High,Bullish,0.8275,3.2523,1.495,win,0.013784,0.012595,0.014145,0.6384,-0.2352,0.7689
v2_balanced_current,2026-04-11T21:56:14.669046+00:00,2026-04-11T23:58:48.644865+00:00,1000PEPEUSDT,1h,Continuation,Balanced,High,Bullish,0.8323,-1.6735,-1.0,loss,0.003616,0.003552,0.003739,0.9151,4.1513,0.0809
v2_balanced_current,2026-04-15T22:43:12.392554+00:00,2026-04-15T23:13:45.464519+00:00,1000PEPEUSDT,15m,Continuation,Balanced,High,Bullish,0.8574,-0.8251,-1.0,loss,0.003708,0.003654,0.003755,0.8107,0.674,1.2611
v2_balanced_current,2026-04-26T11:55:37.716802+00:00,2026-04-26T23:59:59.999000+00:00,1000PEPEUSDT,4h,Continuation,Balanced,High,Bullish,0.9061,-2.0948,-1.0,loss,0.003835,0.003713,0.003942,1.0,-0.6834,1.9105
v2_balanced_current,2026-04-27T03:57:34.172163+00:00,2026-04-27T07:56:49.299071+00:00,1000PEPEUSDT,4h,Continuation,Trending,High,Bullish,0.9017,-2.2772,-1.0,loss,0.003858,0.00373,0.004005,0.9955,0.0209,1.2173
v2_balanced_current,2026-04-10T09:13:56.356313+00:00,2026-04-10T10:10:11.887644+00:00,ENAUSDT,15m,Continuation,Balanced,High,Bullish,0.853,-1.1334,-1.0,loss,0.095527,0.092532,0.097007,0.6291,-0.4322,0.2439
v2_balanced_current,2026-04-18T05:56:01.813294+00:00,2026-04-18T06:41:49.955965+00:00,ENAUSDT,15m,Continuation,Ranging,High,Bullish,0.8413,0.3417,0.495,win,0.124507,0.120938,0.124808,0.8765,2.1673,1.58
v2_balanced_current,2026-04-22T01:25:53.604979+00:00,2026-04-22T02:11:41.132279+00:00,ENAUSDT,15m,Continuation,Ranging,High,Bearish,0.8041,-0.6524,-1.0,loss,0.111102,0.111899,0.110645,0.6478,0.1332,0.7535
v2_balanced_current,2026-04-26T00:59:12.278126+00:00,2026-04-26T01:29:43.538436+00:00,ENJUSDT,15m,Continuation,Balanced,High,Bullish,0.837,-0.9653,-1.0,loss,0.06331,0.062482,0.06471,0.6823,0.0909,2.1911
v2_balanced_current,2026-04-28T23:56:54.234221+00:00,2026-05-05T07:11:56.364927+00:00,TAOUSDT,24h,Continuation,Trending,Low,Bullish,0.8191,3.8186,0.56,win,270.469513,301.05645,258.25,0.7092,0.5705,0.1726
v2_balanced_current,2026-04-18T16:27:11.918682+00:00,2026-04-18T16:42:30.217195+00:00,THETAUSDT,15m,Continuation,Balanced,High,Bullish,0.8937,-1.3137,-1.0,loss,0.233761,0.226309,0.238392,0.8493,0.6132,0.7489
