Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result
MONUSDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Trending,0.8641,Bullish,2.895,win
MONUSDT,4h,2026-04-14 07:55:20.338849+00:00,Continuation,Trending,0.8808,Bullish,-5.5448,loss
IMXUSDT,4h,2026-04-21 07:59:59.999000+00:00,Continuation,Trending,0.9017,Bullish,-1.1442,loss
IMXUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.9019,Bullish,-0.667,loss
SOLUSDT,1h,2026-04-16 17:56:47.130198+00:00,Continuation,Balanced,0.8556,Bullish,1.7979,win
SOLUSDT,1h,2026-04-22 02:57:37.826873+00:00,Continuation,Balanced,0.8885,Bullish,1.0769,win
BEATUSDT,15m,2026-04-09 15:11:06.711737+00:00,Continuation,Balanced,0.8209,Bullish,0.7053,win
XAGUSDT,15m,2026-04-07 15:58:29.280560+00:00,Continuation,Balanced,0.8239,Bullish,0.7761,win
XAGUSDT,4h,2026-04-14 15:59:13.419632+00:00,Continuation,Balanced,0.8893,Bullish,1.001,win
XAGUSDT,24h,2026-04-14 23:57:57.192621+00:00,Continuation,Trending,0.8867,Bullish,-0.4713,loss
SAHARAUSDT,4h,2026-04-22 15:59:59.999000+00:00,Continuation,Trending,0.9007,Bullish,-3.2138,loss
BZUSDT,1h,2026-04-21 19:59:42.988141+00:00,Continuation,Trending,0.889,Bullish,-1.5394,loss
BZUSDT,4h,2026-04-30 03:55:13.790198+00:00,Continuation,Balanced,0.8896,Bullish,0.4607,open
ENAUSDT,4h,2026-04-06 15:56:06.701096+00:00,Continuation,Trending,0.894,Bullish,-3.4423,loss
ENAUSDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Trending,0.8646,Bullish,-4.3703,loss
ENAUSDT,15m,2026-04-10 09:13:56.356313+00:00,Continuation,Balanced,0.853,Bullish,-1.1334,loss
ENAUSDT,15m,2026-04-18 05:56:01.813294+00:00,Continuation,Ranging,0.8413,Bullish,0.3417,win
ENAUSDT,15m,2026-04-22 01:25:53.604979+00:00,Continuation,Ranging,0.8041,Bearish,-0.6524,loss
ENAUSDT,15m,2026-04-25 01:44:08.544453+00:00,Continuation,Ranging,0.8525,Bullish,0.4378,win
SONICUSDT,15m,2026-04-25 12:59:59.999000+00:00,Continuation,Balanced,0.8983,Bullish,2.6463,win
GPSUSDT,15m,2026-04-29 06:56:11.155878+00:00,Continuation,Balanced,0.8678,Bullish,-0.0396,loss
LABUSDT,1h,2026-04-23 13:59:59.999000+00:00,Continuation,Trending,0.9156,Bullish,-5.3966,loss
MMTUSDT,15m,2026-04-05 21:14:59.999000+00:00,Continuation,Trending,0.8441,Bullish,1.4738,win
AAVEUSDT,1h,2026-04-15 11:55:50.955164+00:00,Continuation,Balanced,0.8887,Bullish,2.1462,win
AAVEUSDT,1h,2026-04-21 03:56:51.789844+00:00,Continuation,Trending,0.864,Bullish,-1.5098,loss
AAVEUSDT,4h,2026-04-27 03:57:34.172163+00:00,Continuation,Trending,0.9297,Bullish,-2.455,loss
API3USDT,1h,2026-04-17 13:59:59.999000+00:00,Continuation,Balanced,0.8691,Bullish,-0.2874,loss
BTCUSDT,24h,2026-04-17 23:56:41.953640+00:00,Continuation,Trending,0.8824,Bullish,-1.0196,loss
PUMPUSDT,15m,2026-04-12 01:56:18.478981+00:00,Squeeze,Balanced,0.85,Bearish,1.9131,win
PUMPUSDT,4h,2026-04-13 23:56:29.181229+00:00,Continuation,Trending,0.8661,Bullish,-0.9499,loss
PUMPUSDT,15m,2026-04-29 04:26:45.047015+00:00,Continuation,Balanced,0.8564,Bullish,0.6823,win
DOGEUSDT,1h,2026-04-14 13:56:58.409123+00:00,Continuation,Trending,0.9287,Bullish,-1.0808,loss
