Version,Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result,AI_Score,Computed_TP,Computed_SL,Computed_RR
v3_ema,RENDERUSDT,4h,2026-04-11 19:59:59.999000+00:00,Continuation,Trending,0.8922,Bullish,-3.4702,loss,0.0,,,
v3_ema,HOLOUSDT,4h,2026-04-08 11:59:59.999000+00:00,Continuation,Trending,0.8987,Bullish,-3.1102,loss,0.0,,,
v3_ema,HOLOUSDT,4h,2026-04-09 19:59:59.999000+00:00,Continuation,Trending,0.8824,Bullish,-3.7608,loss,0.0,,,
v3_ema,VVVUSDT,1h,2026-04-05 17:57:05.618344+00:00,Continuation,Trending,0.905,Bullish,-1.0801,loss,0.0,,,
v3_ema,VVVUSDT,15m,2026-04-06 02:55:59.979137+00:00,Continuation,Balanced,0.8068,Bullish,-0.072,loss,0.0,,,
v3_ema,VVVUSDT,15m,2026-04-07 10:27:01.493724+00:00,Continuation,Balanced,0.4205,Bearish,-0.0387,loss,0.0,,,
v3_ema,VVVUSDT,15m,2026-04-11 07:57:49.609646+00:00,Continuation,Balanced,0.8241,Bullish,0.4968,win,0.0,,,
v3_ema,VVVUSDT,4h,2026-04-20 19:59:59.999000+00:00,Continuation,Trending,0.8809,Bullish,-0.2314,loss,0.0,,,
v3_ema,VVVUSDT,4h,2026-04-26 07:59:59.999000+00:00,Continuation,Trending,0.9041,Bullish,2.163,win,0.0,,,
v3_ema,BTCUSDT,24h,2026-04-17 23:56:41.953640+00:00,Continuation,Trending,0.8824,Bullish,-1.0196,loss,0.0,,,
v3_ema,LUNA2USDT,4h,2026-04-23 23:59:59.999000+00:00,Continuation,Trending,0.9011,Bullish,1.4513,win,0.0,,,
v3_ema,SOLUSDT,1h,2026-04-16 17:56:47.130198+00:00,Continuation,Balanced,0.8556,Bullish,1.7979,win,0.0,,,
v3_ema,SOLUSDT,1h,2026-04-22 02:57:37.826873+00:00,Continuation,Balanced,0.8885,Bullish,1.0769,win,0.0,,,
