Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result,Entry_Time,Exit_Time
1000LUNCUSDT,4h,Continuation,Trending,0.8658,Bullish,Long,6.4693,win,2026-04-23 19:59:59,
1000LUNCUSDT,4h,Continuation,Trending,0.8807,Bullish,Long,6.9949,win,2026-04-26 19:59:59,
BASEDUSDT,15m,Continuation,Balanced,0.8262,Bullish,Long,-0.8367,loss,2026-04-12 20:40:29,
ALGOUSDT,1h,Continuation,Trending,0.8638,Bullish,Long,-0.0792,loss,2026-04-05 13:57:07,
ALGOUSDT,15m,Continuation,Balanced,0.862,Bullish,Long,-0.4602,loss,2026-04-26 14:55:47,
ADAUSDT,24h,Continuation,Trending,0.8581,Bullish,Long,-3.6518,loss,2026-04-16 23:59:32,
KOMAUSDT,15m,Continuation,Balanced,0.853,Bullish,Long,1.1696,win,2026-04-09 08:58:06,
XMRUSDT,1h,Continuation,Balanced,0.8533,Bullish,Long,0.5472,win,2026-04-08 12:58:27,
ONDOUSDT,15m,Continuation,Ranging,0.8016,Bullish,Long,0.3278,win,2026-04-01 04:11:48,
ONDOUSDT,15m,Continuation,Ranging,0.8685,Bullish,Long,-0.4194,loss,2026-04-01 12:25:16,
ONDOUSDT,15m,Continuation,Ranging,0.8061,Bullish,Long,-0.6987,loss,2026-04-01 17:12:40,
ONDOUSDT,4h,Continuation,Trending,0.8921,Bullish,Long,-2.3392,loss,2026-04-26 11:59:59,
OPUSDT,4h,Continuation,Trending,0.8516,Bullish,Long,2.0042,win,2026-04-15 15:59:59,
EDGEUSDT,4h,Continuation,Trending,0.8843,Bullish,Long,3.7564,win,2026-04-07 15:58:29,
TIAUSDT,4h,Continuation,Trending,0.8897,Bullish,Long,1.6666,win,2026-04-15 11:59:59,
TIAUSDT,4h,Continuation,Trending,0.9019,Bullish,Long,5.3734,win,2026-04-16 07:59:59,
TIAUSDT,1h,Continuation,Balanced,0.8462,Bullish,Long,-1.5004,loss,2026-04-19 06:55:50,
FARTCOINUSDT,15m,Continuation,Ranging,0.8781,Bullish,Long,-0.723,loss,2026-04-06 08:42:52,
FARTCOINUSDT,4h,Continuation,Trending,0.8943,Bullish,Long,-3.7682,loss,2026-04-06 11:56:30,
FARTCOINUSDT,1h,Continuation,Balanced,0.8588,Bullish,Long,2.7676,win,2026-04-07 15:58:29,
FARTCOINUSDT,4h,Continuation,Trending,0.9071,Bullish,Long,3.1251,win,2026-04-16 07:58:55,
FARTCOINUSDT,4h,Continuation,Trending,0.9004,Bullish,Long,-3.1431,loss,2026-04-27 03:57:34,
PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,Long,-6.09,loss,2026-04-27 19:59:59,
PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,Long,-0.9346,loss,2026-04-28 18:25:52,
BROCCOLI714USDT,1h,Continuation,Trending,0.8952,Bullish,Long,8.3437,win,2026-04-28 18:59:59,
VANAUSDT,4h,Continuation,Trending,0.8903,Bullish,Long,1.5227,win,2026-04-24 03:59:59,
RLSUSDT,4h,Continuation,Trending,0.8915,Bullish,Long,-2.0839,loss,2026-04-02 19:59:59,
LDOUSDT,4h,Continuation,Trending,0.9013,Bullish,Long,7.7023,win,2026-04-15 15:55:23,
LDOUSDT,4h,Continuation,Trending,0.8919,Bullish,Long,-5.7266,loss,2026-04-16 19:59:59,
SEIUSDT,4h,Continuation,Trending,0.8534,Bullish,Long,-3.4886,loss,2026-04-22 15:59:59,
SEIUSDT,15m,Continuation,Ranging,0.8433,Bullish,Long,0.3822,win,2026-04-23 06:40:49,
SEIUSDT,15m,Continuation,Balanced,0.8271,Bullish,Long,1.3656,win,2026-04-26 14:24:52,
CLUSDT,4h,Continuation,Trending,0.8885,Bullish,Long,2.935,win,2026-04-02 15:59:59,
CLUSDT,15m,Continuation,Balanced,0.7892,Bullish,Long,0.8582,win,2026-04-07 10:57:42,
TURBOUSDT,1h,Continuation,Balanced,0.4973,Bearish,Short,1.0211,win,2026-04-18 18:59:48,
1000SHIBUSDT,4h,Continuation,Balanced,0.879,Bullish,Long,-2.4326,loss,2026-04-03 11:55:48,
1000SHIBUSDT,15m,Continuation,Ranging,0.8316,Bullish,Long,0.1854,win,2026-04-22 14:28:07,
1000SHIBUSDT,15m,Continuation,Ranging,0.8072,Bullish,Long,0.7994,win,2026-04-30 06:43:15,
MOVRUSDT,15m,Continuation,Balanced,0.8685,Bullish,Long,-2.0372,loss,2026-04-25 23:12:16,
SLPUSDT,4h,Continuation,Trending,0.8904,Bullish,Long,4.3156,win,2026-04-24 19:59:59,
ASTERUSDT,1h,Continuation,Balanced,0.9079,Bullish,Long,-1.2758,loss,2026-04-14 13:56:58,
SAPIENUSDT,1h,Continuation,Trending,0.878,Bullish,Long,7.1426,win,2026-04-25 11:59:59,
HOODUSDT,4h,Continuation,Trending,0.4889,Bearish,Short,1.5424,win,2026-04-23 15:59:59,
IMXUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-1.1442,loss,2026-04-21 07:59:59,
IMXUSDT,4h,Continuation,Trending,0.9019,Bullish,Long,-0.667,loss,2026-04-22 07:59:59,
WLDUSDT,1h,Continuation,Balanced,0.8632,Bullish,Long,2.3537,win,2026-04-10 15:57:41,
WLDUSDT,1h,Continuation,Trending,0.8972,Bullish,Long,-2.0708,loss,2026-04-13 01:57:14,
WLDUSDT,4h,Continuation,Trending,0.9314,Bullish,Long,-4.9768,loss,2026-04-14 07:55:20,
WLDUSDT,15m,Continuation,Ranging,0.895,Bullish,Long,-0.7118,loss,2026-04-16 07:58:55,
PIXELUSDT,4h,Continuation,Trending,0.4654,Bearish,Short,-6.3267,loss,2026-04-06 07:56:57,
PIXELUSDT,15m,Continuation,Balanced,0.8605,Bullish,Long,1.4491,win,2026-04-09 01:28:43,
RENDERUSDT,1h,Continuation,Balanced,0.9012,Bullish,Long,-0.7808,loss,2026-04-03 06:56:39,
RENDERUSDT,4h,Continuation,Trending,0.8899,Bullish,Long,-3.4557,loss,2026-04-11 19:59:59,
APEUSDT,15m,Continuation,Balanced,0.8531,Bullish,Long,-0.5539,loss,2026-04-18 23:14:13,
APEUSDT,4h,Continuation,Trending,0.8657,Bullish,Long,-3.9221,loss,2026-04-22 07:59:59,
APEUSDT,1h,Continuation,Balanced,0.8691,Bullish,Long,-2.6749,loss,2026-04-28 00:57:12,
ZEREBROUSDT,15m,Continuation,Trending,0.824,Bullish,Long,4.246,win,2026-04-21 23:14:59,
ZEREBROUSDT,1h,Continuation,Trending,0.9029,Bullish,Long,11.4018,win,2026-04-29 17:59:59,
GALAUSDT,15m,Continuation,Ranging,0.8455,Bullish,Long,-0.5329,loss,2026-04-01 21:28:25,
GALAUSDT,24h,Continuation,Trending,0.9006,Bullish,Long,3.1933,win,2026-04-15 23:59:41,
GALAUSDT,4h,Continuation,Trending,0.8874,Bullish,Long,4.4405,win,2026-04-24 11:59:47,
GALAUSDT,4h,Continuation,Trending,0.9131,Bullish,Long,-3.5403,loss,2026-04-25 03:56:27,
1000FLOKIUSDT,1h,Continuation,Balanced,0.8569,Bullish,Long,-0.7143,loss,2026-04-22 14:59:59,
1000FLOKIUSDT,1h,Continuation,Balanced,0.8872,Bullish,Long,-2.3365,loss,2026-04-23 14:59:59,
AVAXUSDT,1h,Continuation,Balanced,0.9037,Bullish,Long,0.4436,win,2026-04-11 18:57:15,
MSTRUSDT,4h,Continuation,Balanced,0.8724,Bullish,Long,3.4002,win,2026-04-14 07:55:20,
SONICUSDT,15m,Continuation,Balanced,0.8983,Bullish,Long,2.6463,win,2026-04-25 12:59:59,
PORTALUSDT,15m,Continuation,Balanced,0.8195,Bullish,Long,0.8688,win,2026-04-20 22:10:47,
BRUSDT,15m,Continuation,Trending,0.8389,Bullish,Long,2.0828,win,2026-04-03 00:11:56,
BRUSDT,1h,Continuation,Trending,0.878,Bullish,Long,-3.7597,loss,2026-04-05 07:59:39,
VVVUSDT,15m,Continuation,Balanced,0.4205,Bearish,Short,-0.0387,loss,2026-04-07 10:27:01,
VVVUSDT,15m,Continuation,Balanced,0.8241,Bullish,Long,0.4968,win,2026-04-11 07:57:49,
VVVUSDT,4h,Continuation,Trending,0.8809,Bullish,Long,-0.2314,loss,2026-04-20 19:59:59,
VVVUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,2.163,win,2026-04-26 07:59:59,
MASKUSDT,4h,Continuation,Trending,0.8985,Bullish,Long,1.6686,win,2026-04-02 19:59:59,
MASKUSDT,24h,Continuation,Trending,0.8946,Bullish,Long,10.1631,win,2026-04-23 08:22:28,
MASKUSDT,1h,Continuation,Balanced,0.8582,Bullish,Long,-1.6716,loss,2026-04-28 07:59:54,
LITUSDT,1h,Continuation,Trending,0.8789,Bullish,Long,1.9868,win,2026-04-02 16:59:59,
VIRTUALUSDT,1h,Continuation,Balanced,0.8491,Bullish,Long,3.0033,win,2026-03-31 16:55:50,
VIRTUALUSDT,4h,Continuation,Trending,0.8695,Bullish,Long,-4.0608,loss,2026-04-08 07:59:59,
VIRTUALUSDT,4h,Continuation,Trending,0.8825,Bullish,Long,-4.4101,loss,2026-04-13 23:59:59,
VIRTUALUSDT,4h,Continuation,Trending,0.8725,Bullish,Long,1.555,win,2026-04-16 15:59:03,
VIRTUALUSDT,4h,Continuation,Trending,0.8779,Bullish,Long,-2.7187,loss,2026-04-22 07:59:59,
UNIUSDT,1h,Continuation,Trending,0.8936,Bullish,Long,-1.5055,loss,2026-04-16 15:59:03,
UNIUSDT,4h,Continuation,Trending,0.8888,Bullish,Long,-2.1553,loss,2026-04-22 07:55:28,
BLURUSDT,15m,Continuation,Balanced,0.8474,Bullish,Long,3.6474,win,2026-04-19 14:11:16,
BLURUSDT,1h,Continuation,Trending,0.8794,Bullish,Long,-3.5539,loss,2026-04-22 19:58:52,
IPUSDT,15m,Continuation,Balanced,0.8787,Bullish,Long,-0.8235,loss,2026-04-21 05:43:45,
IPUSDT,15m,Continuation,Ranging,0.8617,Bullish,Long,0.8299,win,2026-04-26 16:28:31,
ETCUSDT,4h,Continuation,Balanced,0.9026,Bullish,Long,3.3269,win,2026-04-04 11:59:59,
ETCUSDT,4h,Continuation,Trending,0.8572,Bullish,Long,-0.5131,loss,2026-04-17 15:59:59,
JCTUSDT,4h,Continuation,Trending,0.8672,Bullish,Long,10.566,win,2026-04-04 03:59:59,
我踏马来了USDT,4h,Continuation,Trending,0.8773,Bullish,Long,-0.0231,loss,2026-04-10 23:57:47,
ORCAUSDT,15m,Continuation,Balanced,0.877,Bullish,Long,-0.1935,loss,2026-04-28 08:55:56,
DOTUSDT,4h,Continuation,Balanced,0.8579,Bearish,Short,-1.4682,loss,2026-04-05 07:59:39,
DOTUSDT,15m,Continuation,Ranging,0.4549,Bearish,Short,-0.7151,loss,2026-04-13 15:56:10,
DOTUSDT,15m,Continuation,Ranging,0.8653,Bullish,Long,1.1115,win,2026-04-17 12:55:51,
PIEVERSEUSDT,15m,Continuation,Trending,0.8173,Bullish,Long,1.8468,win,2026-04-21 05:13:06,
LINKUSDT,1h,Continuation,Balanced,0.873,Bullish,Long,0.7783,win,2026-04-16 17:56:47,
LINKUSDT,24h,Continuation,Trending,0.8925,Bullish,Long,-2.0835,loss,2026-04-16 23:59:32,
HYPEUSDT,1h,Continuation,Balanced,0.8912,Bullish,Long,-0.5542,loss,2026-03-31 16:55:50,
HYPEUSDT,1h,Continuation,Balanced,0.9067,Bullish,Long,-0.1926,loss,2026-04-08 07:57:26,
HYPEUSDT,1h,Continuation,Balanced,0.9133,Bullish,Long,1.1663,win,2026-04-13 16:57:21,
WETUSDT,15m,Continuation,Trending,0.8592,Bullish,Long,-2.2042,loss,2026-04-13 16:44:59,
HBARUSDT,15m,Continuation,Ranging,0.8746,Bullish,Long,-0.2945,loss,2026-04-16 15:43:45,
MAGMAUSDT,15m,Continuation,Balanced,0.8675,Bullish,Long,0.9548,win,2026-04-24 10:26:30,
PHBUSDT,15m,Continuation,Trending,0.7999,Bullish,Long,-2.8294,loss,2026-04-19 23:26:23,
1000BONKUSDT,15m,Continuation,Ranging,0.8766,Bullish,Long,-0.4888,loss,2026-04-08 04:13:01,
1000BONKUSDT,4h,Continuation,Trending,0.8606,Bullish,Long,-1.3292,loss,2026-04-09 19:57:03,
1000BONKUSDT,15m,Continuation,Ranging,0.8084,Bullish,Long,0.9806,win,2026-04-17 07:41:30,
ARIAUSDT,15m,Continuation,Trending,0.8442,Bullish,Long,6.0573,win,2026-04-01 16:25:09,
ARIAUSDT,1h,Continuation,Trending,0.8967,Bullish,Long,6.2961,win,2026-04-04 14:59:02,
FIDAUSDT,15m,Continuation,Balanced,0.7957,Bullish,Long,2.0594,win,2026-04-03 23:55:13,
TAOUSDT,4h,Continuation,Balanced,0.8851,Bullish,Long,1.3228,win,2026-04-06 07:56:57,
TAOUSDT,1h,Continuation,Balanced,0.4788,Bearish,Short,-1.696,loss,2026-04-14 18:57:32,
FIGHTUSDT,4h,Continuation,Trending,0.8729,Bullish,Long,3.3913,win,2026-04-16 23:59:32,
